nczujnik1,0.00, czujnik2,38.81, czujnik3,9.46
czujnik1,42.48, czujnik2,39.08, czujnik3,9.46
czujnik1,38.54, czujnik2,37.96, czujnik3,10.22
czujnik1,45.58, czujnik2,37.57, czujnik3,10.22
czujnik1,42.89, czujnik2,38.38, czujnik3,9.46
czujnik1,40.41, czujnik2,38.27, czujnik3,9.46
czujnik1,64.88, czujnik2,38.38, czujnik3,9.34
czujnik1,40.87, czujnik2,37.96, czujnik3,9.80
czujnik1,46.36, czujnik2,38.01, czujnik3,9.46
czujnik1,41.28, czujnik2,38.27, czujnik3,9.46
czujnik1,39.39, czujnik2,38.83, czujnik3,9.35
czujnik1,41.62, czujnik2,38.35, czujnik3,9.35
czujnik1,45.94, czujnik2,38.32, czujnik3,9.46
czujnik1,38.96, czujnik2,38.35, czujnik3,9.34
czujnik1,40.19, czujnik2,38.40, czujnik3,9.35
czujnik1,41.63, czujnik2,38.81, czujnik3,9.88
czujnik1,41.21, czujnik2,38.69, czujnik3,9.91
czujnik1,46.75, czujnik2,38.79, czujnik3,9.76
czujnik1,46.84, czujnik2,37.57, czujnik3,9.35
czujnik1,40.51, czujnik2,38.81, czujnik3,9.91
czujnik1,42.86, czujnik2,37.87, czujnik3,10.32
czujnik1,40.03, czujnik2,37.98, czujnik3,9.35
czujnik1,38.96, czujnik2,40.07, czujnik3,9.34
czujnik1,41.19, czujnik2,37.98, czujnik3,9.46
czujnik1,40.44, czujnik2,37.84, czujnik3,9.46
czujnik1,42.60, czujnik2,37.96, czujnik3,9.35
czujnik1,45.56, czujnik2,38.38, czujnik3,9.35
czujnik1,48.44, czujnik2,38.38, czujnik3,10.32
czujnik1,64.05, czujnik2,39.12, czujnik3,9.46
czujnik1,63.72, czujnik2,37.98, czujnik3,9.35
czujnik1,40.80, czujnik2,37.94, czujnik3,10.22
czujnik1,64.03, czujnik2,37.91, czujnik3,10.32
czujnik1,64.05, czujnik2,38.37, czujnik3,9.35
czujnik1,64.15, czujnik2,38.38, czujnik3,9.35
czujnik1,41.63, czujnik2,38.79, czujnik3,9.46
czujnik1,41.22, czujnik2,38.28, czujnik3,9.46
czujnik1,38.54, czujnik2,38.42, czujnik3,10.22
czujnik1,39.37, czujnik2,38.81, czujnik3,9.80
czujnik1,44.17, czujnik2,38.38, czujnik3,9.46
czujnik1,41.22, czujnik2,37.87, czujnik3,9.46
czujnik1,63.64, czujnik2,38.79, czujnik3,9.34
czujnik1,43.40, czujnik2,37.96, czujnik3,9.34
czujnik1,39.73, czujnik2,37.99, czujnik3,9.91
czujnik1,41.68, czujnik2,38.27, czujnik3,10.32
czujnik1,64.88, czujnik2,38.78, czujnik3,9.35
czujnik1,64.98, czujnik2,38.79, czujnik3,9.35
czujnik1,47.16, czujnik2,38.81, czujnik3,10.32
czujnik1,63.23, czujnik2,38.71, czujnik3,9.90
czujnik1,41.31, czujnik2,38.37, czujnik3,9.35
czujnik1,39.40, czujnik2,39.63, czujnik3,9.35
czujnik1,39.27, czujnik2,37.87, czujnik3,9.46
czujnik1,40.65, czujnik2,38.78, czujnik3,9.35
czujnik1,64.17, czujnik2,38.74, czujnik3,10.22
czujnik1,38.45, czujnik2,37.98, czujnik3,10.22
czujnik1,38.55, czujnik2,37.86, czujnik3,9.46
czujnik1,38.95, czujnik2,38.38, czujnik3,9.35
czujnik1,38.98, czujnik2,39.18, czujnik3,10.22
czujnik1,65.31, czujnik2,38.37, czujnik3,9.46
czujnik1,39.57, czujnik2,38.27, czujnik3,9.46
czujnik1,48.45, czujnik2,38.40, czujnik3,9.35
czujnik1,48.15, czujnik2,38.42, czujnik3,10.22
czujnik1,46.77, czujnik2,38.78, czujnik3,9.46
czujnik1,64.06, czujnik2,38.28, czujnik3,9.46
czujnik1,38.54, czujnik2,38.38, czujnik3,9.76
czujnik1,40.65, czujnik2,38.40, czujnik3,9.35
czujnik1,63.64, czujnik2,37.98, czujnik3,9.46
czujnik1,39.40, czujnik2,37.87, czujnik3,10.32
czujnik1,40.02, czujnik2,38.38, czujnik3,9.35
czujnik1,43.86, czujnik2,38.78, czujnik3,9.35
czujnik1,47.16, czujnik2,37.98, czujnik3,9.46
czujnik1,44.59, czujnik2,38.69, czujnik3,9.46
czujnik1,41.73, czujnik2,37.96, czujnik3,10.22
czujnik1,41.63, czujnik2,37.96, czujnik3,10.22
czujnik1,41.22, czujnik2,37.87, czujnik3,9.46
czujnik1,40.61, czujnik2,38.01, czujnik3,9.35
czujnik1,43.42, czujnik2,37.96, czujnik3,9.35
czujnik1,39.27, czujnik2,37.96, czujnik3,10.22
czujnik1,38.55, czujnik2,37.89, czujnik3,9.46
czujnik1,38.57, czujnik2,37.99, czujnik3,9.80
czujnik1,40.19, czujnik2,38.78, czujnik3,9.76
czujnik1,43.35, czujnik2,37.96, czujnik3,9.46
czujnik1,40.05, czujnik2,38.69, czujnik3,9.46
czujnik1,63.21, czujnik2,37.98, czujnik3,9.76
czujnik1,40.85, czujnik2,38.01, czujnik3,9.35
czujnik1,39.90, czujnik2,37.98, czujnik3,10.32
czujnik1,47.99, czujnik2,37.86, czujnik3,10.32
czujnik1,40.87, czujnik2,38.42, czujnik3,10.22
czujnik1,44.73, czujnik2,37.96, czujnik3,9.35
czujnik1,42.06, czujnik2,38.37, czujnik3,10.32
czujnik1,64.05, czujnik2,38.27, czujnik3,9.46
czujnik1,46.33, czujnik2,38.01, czujnik3,9.80
czujnik1,39.35, czujnik2,37.98, czujnik3,9.35
czujnik1,40.75, czujnik2,37.57, czujnik3,9.46
czujnik1,45.44, czujnik2,37.96, czujnik3,10.32
czujnik1,39.42, czujnik2,37.98, czujnik3,9.76
czujnik1,46.38, czujnik2,37.98, czujnik3,9.35
czujnik1,43.32, czujnik2,38.72, czujnik3,9.46
czujnik1,43.76, czujnik2,38.78, czujnik3,9.35
czujnik1,43.01, czujnik2,39.23, czujnik3,9.76
czujnik1,38.84, czujnik2,38.42, czujnik3,9.44
czujnik1,45.90, czujnik2,37.86, czujnik3,9.46
czujnik1,63.64, czujnik2,38.37, czujnik3,10.22
czujnik1,65.41, czujnik2,38.38, czujnik3,9.35
czujnik1,63.64, czujnik2,38.42, czujnik3,9.46
czujnik1,63.21, czujnik2,38.27, czujnik3,9.46
czujnik1,39.15, czujnik2,39.18, czujnik3,9.35
czujnik1,40.03, czujnik2,38.38, czujnik3,9.35
czujnik1,38.88, czujnik2,38.38, czujnik3,9.46
czujnik1,38.98, czujnik2,37.87, czujnik3,10.32
czujnik1,42.19, czujnik2,39.23, czujnik3,9.35
czujnik1,44.69, czujnik2,38.79, czujnik3,9.81
czujnik1,64.88, czujnik2,38.78, czujnik3,9.91
czujnik1,48.44, czujnik2,37.98, czujnik3,9.46
czujnik1,40.87, czujnik2,38.37, czujnik3,9.35
czujnik1,45.53, czujnik2,37.99, czujnik3,9.80
czujnik1,38.55, czujnik2,37.86, czujnik3,9.91
czujnik1,43.38, czujnik2,38.76, czujnik3,9.81
czujnik1,47.67, czujnik2,37.55, czujnik3,9.35
czujnik1,38.47, czujnik2,37.98, czujnik3,9.46
czujnik1,40.78, czujnik2,38.64, czujnik3,10.32
czujnik1,46.77, czujnik2,38.83, czujnik3,9.76
czujnik1,65.41, czujnik2,37.99, czujnik3,9.35
czujnik1,38.47, czujnik2,38.76, czujnik3,9.86
czujnik1,44.63, czujnik2,38.71, czujnik3,9.46
czujnik1,41.04, czujnik2,37.98, czujnik3,9.35
czujnik1,38.95, czujnik2,38.38, czujnik3,9.35
czujnik1,64.46, czujnik2,37.98, czujnik3,9.46
czujnik1,39.17, czujnik2,37.57, czujnik3,9.46
czujnik1,43.42, czujnik2,38.40, czujnik3,9.76
czujnik1,45.56, czujnik2,38.37, czujnik3,9.35
czujnik1,66.14, czujnik2,38.32, czujnik3,9.86
czujnik1,43.30, czujnik2,38.37, czujnik3,9.35
czujnik1,62.48, czujnik2,38.78, czujnik3,9.35
czujnik1,38.91, czujnik2,38.78, czujnik3,10.22
czujnik1,44.61, czujnik2,39.08, czujnik3,9.46
czujnik1,39.42, czujnik2,38.79, czujnik3,9.35
czujnik1,46.45, czujnik2,39.18, czujnik3,9.35
czujnik1,40.80, czujnik2,38.42, czujnik3,9.46
czujnik1,41.21, czujnik2,37.86, czujnik3,9.44
czujnik1,42.16, czujnik2,37.96, czujnik3,9.35
czujnik1,41.72, czujnik2,38.78, czujnik3,9.35
czujnik1,47.18, czujnik2,38.78, czujnik3,9.86
czujnik1,40.85, czujnik2,38.71, czujnik3,9.46
czujnik1,40.03, czujnik2,37.96, czujnik3,10.22
czujnik1,46.02, czujnik2,37.99, czujnik3,9.76
czujnik1,47.59, czujnik2,38.38, czujnik3,10.32
czujnik1,46.28, czujnik2,38.27, czujnik3,9.46
czujnik1,45.97, czujnik2,38.37, czujnik3,10.22
czujnik1,38.95, czujnik2,38.83, czujnik3,9.35
czujnik1,64.47, czujnik2,37.98, czujnik3,9.46
czujnik1,38.55, czujnik2,38.38, czujnik3,9.35
czujnik1,44.27, czujnik2,40.02, czujnik3,9.81
czujnik1,42.91, czujnik2,38.38, czujnik3,10.20
czujnik1,40.54, czujnik2,37.86, czujnik3,9.46
czujnik1,39.78, czujnik2,38.76, czujnik3,9.35
czujnik1,39.98, czujnik2,38.37, czujnik3,9.35
czujnik1,42.09, czujnik2,38.83, czujnik3,9.86
czujnik1,42.50, czujnik2,37.48, czujnik3,9.46
czujnik1,41.89, czujnik2,38.40, czujnik3,9.35
czujnik1,42.59, czujnik2,37.98, czujnik3,9.35
czujnik1,40.97, czujnik2,38.38, czujnik3,9.86
czujnik1,42.45, czujnik2,38.71, czujnik3,9.46
czujnik1,39.37, czujnik2,37.98, czujnik3,10.22
czujnik1,39.15, czujnik2,38.81, czujnik3,9.34
czujnik1,43.32, czujnik2,38.01, czujnik3,9.46
czujnik1,42.14, czujnik2,38.32, czujnik3,10.32
czujnik1,47.18, czujnik2,38.76, czujnik3,10.22
czujnik1,39.39, czujnik2,37.94, czujnik3,10.22
czujnik1,42.50, czujnik2,37.59, czujnik3,10.32
czujnik1,41.73, czujnik2,37.99, czujnik3,9.46
czujnik1,40.19, czujnik2,38.40, czujnik3,9.76
czujnik1,39.40, czujnik2,38.38, czujnik3,9.76
czujnik1,39.74, czujnik2,37.91, czujnik3,9.46
czujnik1,41.73, czujnik2,38.40, czujnik3,9.35
czujnik1,40.44, czujnik2,38.81, czujnik3,9.76
czujnik1,38.88, czujnik2,37.98, czujnik3,9.46
czujnik1,45.03, czujnik2,38.30, czujnik3,9.46
czujnik1,40.46, czujnik2,37.60, czujnik3,9.35
czujnik1,46.45, czujnik2,37.96, czujnik3,9.35
czujnik1,42.04, czujnik2,38.38, czujnik3,9.46
czujnik1,45.46, czujnik2,38.33, czujnik3,9.47
czujnik1,39.63, czujnik2,37.99, czujnik3,9.35
czujnik1,39.85, czujnik2,38.40, czujnik3,9.35
czujnik1,39.71, czujnik2,37.98, czujnik3,9.86
czujnik1,47.96, czujnik2,37.57, czujnik3,10.32
czujnik1,45.56, czujnik2,38.38, czujnik3,10.22
czujnik1,47.31, czujnik2,37.99, czujnik3,10.22
czujnik1,64.88, czujnik2,40.05, czujnik3,9.86
czujnik1,41.73, czujnik2,37.96, czujnik3,9.46
czujnik1,40.63, czujnik2,37.96, czujnik3,9.34
czujnik1,41.73, czujnik2,38.42, czujnik3,9.76
czujnik1,39.32, czujnik2,38.30, czujnik3,9.46
czujnik1,42.14, czujnik2,38.81, czujnik3,9.35
czujnik1,44.69, czujnik2,37.99, czujnik3,9.78
czujnik1,48.03, czujnik2,37.57, czujnik3,9.76
czujnik1,42.09, czujnik2,39.52, czujnik3,9.46
czujnik1,39.81, czujnik2,38.42, czujnik3,9.35
czujnik1,43.88, czujnik2,38.40, czujnik3,9.35
czujnik1,41.21, czujnik2,37.98, czujnik3,9.46
czujnik1,41.63, czujnik2,38.28, czujnik3,9.86
czujnik1,40.44, czujnik2,39.18, czujnik3,9.35
czujnik1,45.60, czujnik2,38.37, czujnik3,9.35
czujnik1,44.18, czujnik2,38.40, czujnik3,9.86
czujnik1,40.87, czujnik2,38.72, czujnik3,9.46
czujnik1,60.82, czujnik2,38.42, czujnik3,9.76
czujnik1,42.18, czujnik2,39.20, czujnik3,9.76
czujnik1,47.18, czujnik2,38.40, czujnik3,9.86
czujnik1,41.73, czujnik2,38.38, czujnik3,10.22
czujnik1,64.54, czujnik2,39.20, czujnik3,9.76
czujnik1,41.21, czujnik2,37.98, czujnik3,10.22
czujnik1,38.15, czujnik2,38.67, czujnik3,9.86
czujnik1,45.05, czujnik2,39.18, czujnik3,9.76
czujnik1,38.59, czujnik2,37.99, czujnik3,9.76
czujnik1,41.63, czujnik2,39.23, czujnik3,9.86
czujnik1,40.14, czujnik2,38.71, czujnik3,9.46
czujnik1,62.81, czujnik2,38.78, czujnik3,9.35
czujnik1,40.90, czujnik2,37.96, czujnik3,9.35
czujnik1,39.71, czujnik2,38.37, czujnik3,9.46
czujnik1,38.55, czujnik2,39.47, czujnik3,9.86
czujnik1,40.66, czujnik2,37.57, czujnik3,9.76
czujnik1,42.30, czujnik2,38.78, czujnik3,9.35
czujnik1,42.91, czujnik2,38.38, czujnik3,9.86
czujnik1,41.33, czujnik2,38.67, czujnik3,9.46
czujnik1,40.85, czujnik2,38.79, czujnik3,9.35
czujnik1,39.83, czujnik2,38.78, czujnik3,9.35
czujnik1,63.21, czujnik2,38.27, czujnik3,9.86
czujnik1,40.44, czujnik2,38.78, czujnik3,9.35
czujnik1,43.88, czujnik2,37.96, czujnik3,9.35
czujnik1,24.59, czujnik2,37.99, czujnik3,9.46
czujnik1,47.18, czujnik2,38.27, czujnik3,9.46
czujnik1,38.98, czujnik2,38.37, czujnik3,9.35
czujnik1,48.13, czujnik2,38.01, czujnik3,9.35
czujnik1,41.19, czujnik2,38.78, czujnik3,9.46
czujnik1,47.18, czujnik2,37.86, czujnik3,9.46
czujnik1,43.38, czujnik2,37.98, czujnik3,9.37
czujnik1,45.56, czujnik2,38.37, czujnik3,9.76
czujnik1,41.63, czujnik2,37.98, czujnik3,9.46
czujnik1,40.46, czujnik2,37.59, czujnik3,9.46
czujnik1,45.61, czujnik2,38.78, czujnik3,9.35
czujnik1,43.42, czujnik2,38.40, czujnik3,9.35
czujnik1,39.90, czujnik2,38.35, czujnik3,9.46
czujnik1,47.14, czujnik2,37.94, czujnik3,9.35
czujnik1,43.01, czujnik2,37.98, czujnik3,9.35
czujnik1,43.74, czujnik2,38.38, czujnik3,9.35
czujnik1,45.07, czujnik2,38.71, czujnik3,9.46
czujnik1,45.05, czujnik2,38.81, czujnik3,9.35
czujnik1,43.03, czujnik2,38.01, czujnik3,9.35
czujnik1,42.91, czujnik2,38.37, czujnik3,9.86
czujnik1,39.78, czujnik2,37.89, czujnik3,9.46
czujnik1,40.46, czujnik2,37.99, czujnik3,10.63
czujnik1,40.44, czujnik2,38.40, czujnik3,9.35
czujnik1,38.44, czujnik2,37.96, czujnik3,9.86
czujnik1,38.96, czujnik2,38.28, czujnik3,9.46
czujnik1,46.34, czujnik2,38.79, czujnik3,9.35
czujnik1,39.17, czujnik2,38.78, czujnik3,9.35
czujnik1,38.84, czujnik2,37.96, czujnik3,9.86
czujnik1,44.20, czujnik2,38.01, czujnik3,9.46
czujnik1,40.88, czujnik2,37.99, czujnik3,10.22
czujnik1,42.09, czujnik2,38.44, czujnik3,9.35
czujnik1,47.59, czujnik2,38.28, czujnik3,9.46
czujnik1,43.32, czujnik2,38.42, czujnik3,9.35
czujnik1,39.57, czujnik2,38.01, czujnik3,9.35
czujnik1,39.30, czujnik2,39.23, czujnik3,9.46
czujnik1,46.36, czujnik2,37.87, czujnik3,9.46
czujnik1,45.46, czujnik2,38.38, czujnik3,10.22
czujnik1,43.44, czujnik2,39.25, czujnik3,10.22
czujnik1,47.18, czujnik2,37.99, czujnik3,10.22
czujnik1,40.34, czujnik2,39.54, czujnik3,9.44
czujnik1,39.40, czujnik2,38.81, czujnik3,10.22
czujnik1,40.88, czujnik2,39.61, czujnik3,9.76
czujnik1,45.03, czujnik2,39.25, czujnik3,9.44
czujnik1,44.63, czujnik2,37.89, czujnik3,9.46
czujnik1,43.01, czujnik2,39.18, czujnik3,10.22
czujnik1,40.26, czujnik2,38.40, czujnik3,9.35
czujnik1,38.47, czujnik2,38.33, czujnik3,9.46
czujnik1,38.54, czujnik2,38.27, czujnik3,9.46
czujnik1,46.38, czujnik2,38.40, czujnik3,9.35
czujnik1,38.98, czujnik2,37.99, czujnik3,9.76
czujnik1,46.26, czujnik2,38.78, czujnik3,10.32
czujnik1,45.48, czujnik2,39.08, czujnik3,9.86
czujnik1,47.60, czujnik2,38.79, czujnik3,10.22
czujnik1,40.48, czujnik2,38.81, czujnik3,9.76
czujnik1,45.02, czujnik2,37.86, czujnik3,9.46
czujnik1,39.81, czujnik2,37.57, czujnik3,9.76
czujnik1,41.73, czujnik2,38.37, czujnik3,9.35
czujnik1,40.34, czujnik2,38.72, czujnik3,9.46
czujnik1,42.06, czujnik2,37.47, czujnik3,9.46
czujnik1,38.16, czujnik2,40.02, czujnik3,10.22
czujnik1,65.41, czujnik2,37.96, czujnik3,9.76
czujnik1,44.61, czujnik2,38.37, czujnik3,9.46
czujnik1,47.59, czujnik2,38.27, czujnik3,9.86
czujnik1,42.60, czujnik2,37.55, czujnik3,9.35
czujnik1,40.03, czujnik2,38.42, czujnik3,9.35
czujnik1,39.69, czujnik2,39.20, czujnik3,9.86
czujnik1,46.29, czujnik2,38.66, czujnik3,9.86
czujnik1,38.96, czujnik2,38.40, czujnik3,9.76
czujnik1,39.80, czujnik2,38.76, czujnik3,9.35
czujnik1,41.63, czujnik2,38.81, czujnik3,9.90
czujnik1,39.37, czujnik2,39.10, czujnik3,9.44
