cczujnik1,6.82, czujnik2,38.42, czujnik3,37.13
czujnik1,6.84, czujnik2,38.40, czujnik3,37.01
czujnik1,6.82, czujnik2,38.40, czujnik3,37.55
czujnik1,6.72, czujnik2,38.01, czujnik3,37.11
czujnik1,6.72, czujnik2,39.52, czujnik3,37.48
czujnik1,7.69, czujnik2,38.81, czujnik3,37.43
czujnik1,6.84, czujnik2,38.37, czujnik3,37.52
czujnik1,6.72, czujnik2,38.42, czujnik3,37.13
czujnik1,7.60, czujnik2,37.89, czujnik3,37.52
czujnik1,6.84, czujnik2,37.59, czujnik3,37.86
czujnik1,6.82, czujnik2,40.07, czujnik3,37.52
czujnik1,6.72, czujnik2,37.99, czujnik3,37.13
czujnik1,6.82, czujnik2,39.06, czujnik3,37.04
czujnik1,6.82, czujnik2,38.40, czujnik3,37.53
czujnik1,6.73, czujnik2,38.40, czujnik3,37.13
czujnik1,6.73, czujnik2,38.71, czujnik3,37.09
czujnik1,6.84, czujnik2,38.40, czujnik3,37.01
czujnik1,6.82, czujnik2,38.40, czujnik3,37.11
czujnik1,6.72, czujnik2,38.74, czujnik3,37.52
czujnik1,6.72, czujnik2,37.89, czujnik3,37.53
czujnik1,6.82, czujnik2,40.51, czujnik3,37.02
czujnik1,6.84, czujnik2,38.40, czujnik3,37.13
czujnik1,6.73, czujnik2,39.18, czujnik3,37.13
czujnik1,6.84, czujnik2,38.72, czujnik3,37.55
czujnik1,6.84, czujnik2,39.66, czujnik3,37.13
czujnik1,6.84, czujnik2,41.31, czujnik3,37.13
czujnik1,6.73, czujnik2,40.39, czujnik3,37.11
czujnik1,6.84, czujnik2,38.37, czujnik3,37.53
czujnik1,6.84, czujnik2,39.66, czujnik3,37.53
czujnik1,6.75, czujnik2,41.77, czujnik3,37.52
czujnik1,6.72, czujnik2,50.41, czujnik3,37.52
czujnik1,6.82, czujnik2,39.22, czujnik3,37.02
czujnik1,6.84, czujnik2,38.81, czujnik3,37.11
czujnik1,6.73, czujnik2,40.82, czujnik3,37.11
czujnik1,7.59, czujnik2,37.91, czujnik3,37.53
czujnik1,7.69, czujnik2,38.40, czujnik3,37.02
czujnik1,6.82, czujnik2,39.69, czujnik3,37.13
czujnik1,6.73, czujnik2,38.01, czujnik3,37.52
czujnik1,6.77, czujnik2,39.13, czujnik3,37.50
czujnik1,7.70, czujnik2,38.83, czujnik3,37.43
czujnik1,7.70, czujnik2,38.84, czujnik3,37.53
czujnik1,6.72, czujnik2,38.38, czujnik3,37.52
czujnik1,6.82, czujnik2,38.28, czujnik3,37.53
czujnik1,7.69, czujnik2,40.48, czujnik3,37.48
czujnik1,6.82, czujnik2,40.05, czujnik3,37.13
czujnik1,6.73, czujnik2,38.72, czujnik3,37.52
czujnik1,6.82, czujnik2,38.76, czujnik3,37.02
czujnik1,6.82, czujnik2,38.44, czujnik3,37.13
czujnik1,7.18, czujnik2,43.88, czujnik3,37.53
czujnik1,6.72, czujnik2,161.24, czujnik3,37.11
czujnik1,6.82, czujnik2,40.37, czujnik3,37.01
czujnik1,6.84, czujnik2,38.42, czujnik3,37.14
czujnik1,6.72, czujnik2,37.96, czujnik3,37.50
czujnik1,6.72, czujnik2,38.32, czujnik3,37.11
czujnik1,6.84, czujnik2,40.51, czujnik3,37.01
czujnik1,6.82, czujnik2,40.02, czujnik3,37.13
czujnik1,6.72, czujnik2,38.81, czujnik3,37.13
czujnik1,6.84, czujnik2,37.87, czujnik3,37.55
czujnik1,6.82, czujnik2,37.99, czujnik3,37.50
czujnik1,6.82, czujnik2,39.69, czujnik3,37.11
czujnik1,7.18, czujnik2,41.75, czujnik3,37.11
czujnik1,6.82, czujnik2,38.42, czujnik3,37.48
czujnik1,6.82, czujnik2,38.42, czujnik3,37.53
