zujnik1,16.58, czujnik2,37.96, czujnik3,37.11
czujnik1,16.60, czujnik2,38.30, czujnik3,37.91
czujnik1,16.19, czujnik2,37.59, czujnik3,37.81
czujnik1,16.19, czujnik2,41.82, czujnik3,37.57
czujnik1,16.60, czujnik2,39.29, czujnik3,37.53
czujnik1,16.17, czujnik2,38.66, czujnik3,37.52
czujnik1,16.62, czujnik2,39.20, czujnik3,37.01
czujnik1,16.19, czujnik2,38.81, czujnik3,37.52
czujnik1,17.01, czujnik2,38.40, czujnik3,22.69
czujnik1,17.01, czujnik2,38.72, czujnik3,37.52
czujnik1,16.60, czujnik2,38.01, czujnik3,37.01
czujnik1,16.19, czujnik2,40.56, czujnik3,37.52
czujnik1,17.01, czujnik2,198.23, czujnik3,37.13
czujnik1,16.60, czujnik2,37.87, czujnik3,37.55
czujnik1,16.60, czujnik2,37.99, czujnik3,37.45
czujnik1,16.60, czujnik2,38.38, czujnik3,37.52
czujnik1,16.60, czujnik2,41.39, czujnik3,37.52
czujnik1,16.19, czujnik2,37.89, czujnik3,23.55
czujnik1,16.60, czujnik2,37.55, czujnik3,37.01
czujnik1,16.60, czujnik2,37.99, czujnik3,37.57
czujnik1,16.60, czujnik2,38.79, czujnik3,37.55
czujnik1,16.19, czujnik2,40.03, czujnik3,22.69
czujnik1,16.60, czujnik2,38.79, czujnik3,22.99
czujnik1,16.60, czujnik2,39.25, czujnik3,22.16
czujnik1,16.19, czujnik2,38.44, czujnik3,37.53
czujnik1,16.60, czujnik2,38.71, czujnik3,37.52
czujnik1,16.60, czujnik2,38.40, czujnik3,37.40
czujnik1,16.17, czujnik2,45.48, czujnik3,37.14
czujnik1,16.17, czujnik2,38.40, czujnik3,37.93
czujnik1,17.01, czujnik2,37.89, czujnik3,23.11
czujnik1,16.19, czujnik2,38.40, czujnik3,37.41
czujnik1,16.17, czujnik2,40.07, czujnik3,37.13
czujnik1,16.19, czujnik2,39.61, czujnik3,37.53
czujnik1,16.58, czujnik2,37.84, czujnik3,23.11
czujnik1,16.19, czujnik2,38.37, czujnik3,37.48
czujnik1,16.58, czujnik2,158.32, czujnik3,37.38
czujnik1,16.17, czujnik2,37.98, czujnik3,37.52
czujnik1,16.19, czujnik2,39.95, czujnik3,37.53
czujnik1,16.19, czujnik2,37.99, czujnik3,37.02
czujnik1,16.60, czujnik2,37.98, czujnik3,37.55
czujnik1,16.17, czujnik2,38.76, czujnik3,37.93
czujnik1,16.17, czujnik2,40.77, czujnik3,22.69
czujnik1,16.17, czujnik2,38.83, czujnik3,37.41
czujnik1,16.58, czujnik2,38.38, czujnik3,23.45
czujnik1,16.99, czujnik2,38.81, czujnik3,37.52
czujnik1,16.17, czujnik2,37.86, czujnik3,22.28
czujnik1,16.58, czujnik2,37.99, czujnik3,23.86
czujnik1,16.17, czujnik2,130.34, czujnik3,37.47
czujnik1,16.21, czujnik2,109.18, czujnik3,37.55
czujnik1,16.19, czujnik2,130.44, czujnik3,37.57
czujnik1,16.60, czujnik2,39.15, czujnik3,37.52
czujnik1,16.60, czujnik2,37.99, czujnik3,37.53
czujnik1,16.29, czujnik2,37.59, czujnik3,23.55
czujnik1,16.17, czujnik2,40.03, czujnik3,37.52
czujnik1,16.19, czujnik2,38.71, czujnik3,37.52
czujnik1,16.60, czujnik2,39.68, czujnik3,37.11
czujnik1,16.67, czujnik2,40.03, czujnik3,25.19
czujnik1,16.19, czujnik2,38.81, czujnik3,37.11
czujnik1,17.01, czujnik2,37.99, czujnik3,23.15
czujnik1,16.60, czujnik2,40.07, czujnik3,37.52
czujnik1,16.28, czujnik2,39.22, czujnik3,37.52
czujnik1,16.58, czujnik2,38.38, czujnik3,37.52
czujnik1,16.58, czujnik2,38.28, czujnik3,37.53
czujnik1,16.19, czujnik2,38.79, czujnik3,37.13
czujnik1,16.28, czujnik2,128.30, czujnik3,25.20
czujnik1,16.19, czujnik2,128.71, czujnik3,37.55
czujnik1,16.60, czujnik2,39.12, czujnik3,37.13
czujnik1,16.60, czujnik2,38.81, czujnik3,37.57
czujnik1,16.19, czujnik2,39.69, czujnik3,23.98
czujnik1,16.17, czujnik2,38.81, czujnik3,37.53
czujnik1,16.19, czujnik2,160.36, czujnik3,37.33
czujnik1,16.60, czujnik2,38.83, czujnik3,37.11
czujnik1,16.60, czujnik2,39.22, czujnik3,37.13
czujnik1,16.17, czujnik2,39.23, czujnik3,37.53
czujnik1,16.17, czujnik2,38.30, czujnik3,23.11
czujnik1,16.19, czujnik2,37.55, czujnik3,37.41
czujnik1,17.41, czujnik2,37.94, czujnik3,37.13
czujnik1,16.60, czujnik2,39.64, czujnik3,37.13
czujnik1,16.60, czujnik2,39.17, czujnik3,37.52
czujnik1,16.60, czujnik2,38.35, czujnik3,23.86
czujnik1,16.19, czujnik2,38.76, czujnik3,37.11
czujnik1,16.60, czujnik2,38.37, czujnik3,37.13
czujnik1,16.17, czujnik2,193.88, czujnik3,37.30
czujnik1,16.17, czujnik2,38.35, czujnik3,24.29
czujnik1,16.60, czujnik2,38.74, czujnik3,37.53
czujnik1,16.17, czujnik2,38.42, czujnik3,37.53
czujnik1,16.17, czujnik2,37.87, czujnik3,37.14
czujnik1,16.17, czujnik2,38.81, czujnik3,23.88
czujnik1,16.17, czujnik2,135.99, czujnik3,37.13
czujnik1,16.17, czujnik2,37.98, czujnik3,22.70
czujnik1,16.19, czujnik2,39.17, czujnik3,37.53
czujnik1,16.58, czujnik2,38.81, czujnik3,37.41
czujnik1,17.01, czujnik2,38.83, czujnik3,37.55
czujnik1,16.17, czujnik2,39.66, czujnik3,24.39
czujnik1,16.17, czujnik2,37.87, czujnik3,37.53
czujnik1,16.19, czujnik2,38.76, czujnik3,37.02
czujnik1,16.19, czujnik2,146.46, czujnik3,24.29
czujnik1,16.19, czujnik2,39.69, czujnik3,37.50
czujnik1,16.17, czujnik2,39.05, czujnik3,37.13
czujnik1,16.19, czujnik2,38.81, czujnik3,22.59
czujnik1,16.17, czujnik2,38.38, czujnik3,37.52
czujnik1,16.60, czujnik2,37.96, czujnik3,37.52
czujnik1,16.17, czujnik2,37.91, czujnik3,37.53
czujnik1,16.19, czujnik2,37.99, czujnik3,37.38
czujnik1,16.17, czujnik2,38.40, czujnik3,37.13
czujnik1,17.01, czujnik2,37.98, czujnik3,37.55
czujnik1,16.60, czujnik2,39.97, czujnik3,37.52
czujnik1,16.19, czujnik2,160.00, czujnik3,36.97
czujnik1,16.17, czujnik2,44.76, czujnik3,37.11
czujnik1,16.19, czujnik2,39.17, czujnik3,37.13
czujnik1,17.01, czujnik2,38.30, czujnik3,37.52
czujnik1,16.60, czujnik2,38.01, czujnik3,37.02
czujnik1,16.19, czujnik2,38.79, czujnik3,37.53
czujnik1,16.19, czujnik2,38.40, czujnik3,37.13
czujnik1,16.17, czujnik2,39.95, czujnik3,37.53
czujnik1,16.19, czujnik2,37.98, czujnik3,37.01
czujnik1,16.19, czujnik2,37.98, czujnik3,37.94
czujnik1,16.19, czujnik2,38.33, czujnik3,37.55
czujnik1,16.60, czujnik2,160.34, czujnik3,36.94
czujnik1,16.19, czujnik2,39.27, czujnik3,37.01
czujnik1,17.02, czujnik2,40.10, czujnik3,37.13
czujnik1,16.60, czujnik2,135.51, czujnik3,37.45
czujnik1,16.17, czujnik2,37.84, czujnik3,23.52
czujnik1,16.60, czujnik2,37.96, czujnik3,37.79
czujnik1,16.58, czujnik2,38.83, czujnik3,23.42
czujnik1,16.19, czujnik2,37.96, czujnik3,37.53
czujnik1,16.19, czujnik2,38.71, czujnik3,37.94
czujnik1,16.19, czujnik2,37.96, czujnik3,23.42
czujnik1,16.60, czujnik2,38.42, czujnik3,37.13
czujnik1,16.17, czujnik2,38.38, czujnik3,37.53
czujnik1,16.17, czujnik2,38.71, czujnik3,37.94
czujnik1,16.17, czujnik2,134.30, czujnik3,24.39
czujnik1,16.17, czujnik2,38.86, czujnik3,22.28
czujnik1,16.58, czujnik2,38.38, czujnik3,37.53
czujnik1,16.19, czujnik2,37.84, czujnik3,37.53
czujnik1,16.19, czujnik2,38.37, czujnik3,37.43
czujnik1,16.19, czujnik2,38.81, czujnik3,23.42
czujnik1,16.19, czujnik2,38.78, czujnik3,23.11
czujnik1,16.17, czujnik2,37.89, czujnik3,37.14
czujnik1,16.17, czujnik2,39.22, czujnik3,37.40
czujnik1,16.17, czujnik2,38.81, czujnik3,37.13
czujnik1,16.58, czujnik2,37.94, czujnik3,37.13
czujnik1,16.19, czujnik2,39.91, czujnik3,37.53
czujnik1,16.19, czujnik2,38.40, czujnik3,37.40
czujnik1,16.60, czujnik2,38.38, czujnik3,37.13
czujnik1,16.17, czujnik2,38.35, czujnik3,23.98
czujnik1,16.60, czujnik2,39.97, czujnik3,37.53
czujnik1,17.02, czujnik2,198.96, czujnik3,37.13
czujnik1,16.19, czujnik2,159.20, czujnik3,23.01
czujnik1,16.19, czujnik2,37.96, czujnik3,22.69
czujnik1,16.60, czujnik2,38.28, czujnik3,23.59
czujnik1,16.60, czujnik2,37.98, czujnik3,24.29
czujnik1,16.60, czujnik2,39.69, czujnik3,37.52
czujnik1,16.19, czujnik2,38.37, czujnik3,37.96
czujnik1,16.58, czujnik2,109.51, czujnik3,37.89
czujnik1,16.17, czujnik2,109.08, czujnik3,24.32
czujnik1,16.17, czujnik2,174.51, czujnik3,37.13
czujnik1,16.19, czujnik2,38.79, czujnik3,37.48
czujnik1,16.19, czujnik2,108.30, czujnik3,22.30
czujnik1,16.58, czujnik2,38.28, czujnik3,24.39
czujnik1,16.60, czujnik2,37.94, czujnik3,24.69
czujnik1,16.28, czujnik2,39.57, czujnik3,22.30
czujnik1,16.19, czujnik2,40.58, czujnik3,23.55
czujnik1,16.60, czujnik2,37.99, czujnik3,37.13
czujnik1,17.01, czujnik2,38.83, czujnik3,23.42
czujnik1,16.28, czujnik2,37.94, czujnik3,22.70
czujnik1,17.01, czujnik2,39.66, czujnik3,37.13
czujnik1,16.19, czujnik2,38.67, czujnik3,37.53
czujnik1,16.17, czujnik2,37.98, czujnik3,37.52
czujnik1,16.29, czujnik2,161.73, czujnik3,37.94
czujnik1,16.60, czujnik2,40.02, czujnik3,23.98
czujnik1,17.01, czujnik2,37.89, czujnik3,37.53
czujnik1,16.17, czujnik2,37.57, czujnik3,37.14
czujnik1,16.60, czujnik2,40.07, czujnik3,37.53
czujnik1,16.19, czujnik2,38.37, czujnik3,37.52
czujnik1,16.60, czujnik2,38.69, czujnik3,37.14
czujnik1,16.60, czujnik2,38.38, czujnik3,37.11
czujnik1,17.01, czujnik2,38.35, czujnik3,37.11
czujnik1,16.17, czujnik2,39.20, czujnik3,23.11
czujnik1,16.19, czujnik2,138.42, czujnik3,37.14
czujnik1,16.60, czujnik2,38.40, czujnik3,37.11
czujnik1,16.17, czujnik2,39.23, czujnik3,24.39
czujnik1,16.60, czujnik2,38.35, czujnik3,22.69
czujnik1,16.17, czujnik2,38.71, czujnik3,37.11
czujnik1,16.19, czujnik2,40.53, czujnik3,37.57
czujnik1,16.60, czujnik2,38.37, czujnik3,37.57
czujnik1,16.58, czujnik2,39.68, czujnik3,37.53
czujnik1,16.60, czujnik2,42.16, czujnik3,37.53
czujnik1,16.17, czujnik2,39.66, czujnik3,37.13
czujnik1,17.01, czujnik2,39.27, czujnik3,37.11
czujnik1,16.17, czujnik2,38.83, czujnik3,37.11
czujnik1,16.17, czujnik2,38.28, czujnik3,37.13
czujnik1,16.60, czujnik2,39.23, czujnik3,37.13
czujnik1,16.58, czujnik2,38.42, czujnik3,37.52
czujnik1,16.58, czujnik2,38.78, czujnik3,37.11
czujnik1,16.60, czujnik2,39.57, czujnik3,37.13
czujnik1,17.01, czujnik2,44.61, czujnik3,37.84
czujnik1,16.19, czujnik2,38.37, czujnik3,37.53
czujnik1,16.17, czujnik2,39.23, czujnik3,37.57
czujnik1,16.17, czujnik2,38.69, czujnik3,23.11
czujnik1,16.58, czujnik2,38.38, czujnik3,37.13
czujnik1,16.17, czujnik2,37.93, czujnik3,37.94
czujnik1,16.60, czujnik2,37.59, czujnik3,22.70
czujnik1,16.17, czujnik2,38.30, czujnik3,23.11
czujnik1,16.58, czujnik2,38.79, czujnik3,23.88
czujnik1,16.58, czujnik2,38.81, czujnik3,37.11
czujnik1,16.19, czujnik2,38.40, czujnik3,37.50
czujnik1,16.60, czujnik2,37.87, czujnik3,37.52
czujnik1,16.58, czujnik2,37.98, czujnik3,24.29
czujnik1,16.60, czujnik2,133.45, czujnik3,37.41
czujnik1,16.60, czujnik2,38.38, czujnik3,37.53
czujnik1,16.17, czujnik2,37.87, czujnik3,37.16
czujnik1,16.60, czujnik2,39.63, czujnik3,22.57
czujnik1,16.58, czujnik2,37.98, czujnik3,37.13
czujnik1,16.17, czujnik2,39.23, czujnik3,22.70
czujnik1,16.17, czujnik2,37.84, czujnik3,37.52
czujnik1,16.17, czujnik2,38.01, czujnik3,37.41
czujnik1,16.17, czujnik2,39.69, czujnik3,23.55
czujnik1,16.17, czujnik2,42.21, czujnik3,37.52
czujnik1,16.58, czujnik2,38.71, czujnik3,37.14
czujnik1,16.58, czujnik2,37.99, czujnik3,37.11
czujnik1,16.19, czujnik2,37.98, czujnik3,37.55
czujnik1,16.17, czujnik2,132.26, czujnik3,37.52
czujnik1,16.60, czujnik2,39.15, czujnik3,37.16
czujnik1,16.58, czujnik2,37.99, czujnik3,23.86
czujnik1,16.17, czujnik2,38.79, czujnik3,37.52
czujnik1,16.17, czujnik2,38.78, czujnik3,37.13
czujnik1,16.17, czujnik2,38.71, czujnik3,37.11
czujnik1,16.19, czujnik2,37.99, czujnik3,37.41
czujnik1,16.19, czujnik2,37.99, czujnik3,37.14
czujnik1,16.99, czujnik2,37.96, czujnik3,37.53
czujnik1,16.58, czujnik2,39.97, czujnik3,23.55
czujnik1,17.01, czujnik2,39.20, czujnik3,37.41
czujnik1,16.60, czujnik2,37.98, czujnik3,37.52
czujnik1,16.60, czujnik2,39.20, czujnik3,22.26
czujnik1,16.17, czujnik2,38.71, czujnik3,37.94
czujnik1,16.60, czujnik2,38.38, czujnik3,37.43
czujnik1,16.19, czujnik2,38.35, czujnik3,37.14
czujnik1,16.19, czujnik2,39.63, czujnik3,37.53
czujnik1,16.60, czujnik2,37.47, czujnik3,37.53
czujnik1,16.60, czujnik2,38.40, czujnik3,23.47
czujnik1,16.19, czujnik2,38.40, czujnik3,37.13
czujnik1,17.01, czujnik2,38.40, czujnik3,37.52
czujnik1,16.17, czujnik2,37.47, czujnik3,37.52
czujnik1,16.58, czujnik2,39.61, czujnik3,37.84
czujnik1,16.17, czujnik2,38.78, czujnik3,37.11
czujnik1,16.60, czujnik2,37.99, czujnik3,37.13
czujnik1,16.58, czujnik2,40.03, czujnik3,22.70
czujnik1,16.58, czujnik2,217.87, czujnik3,37.13
czujnik1,16.60, czujnik2,37.99, czujnik3,37.13
czujnik1,16.17, czujnik2,46.00, czujnik3,37.52
czujnik1,16.60, czujnik2,38.69, czujnik3,23.11
czujnik1,16.58, czujnik2,38.38, czujnik3,23.01
czujnik1,16.17, czujnik2,38.35, czujnik3,37.55
czujnik1,16.60, czujnik2,39.61, czujnik3,37.13
czujnik1,16.60, czujnik2,159.10, czujnik3,36.89
czujnik1,16.58, czujnik2,40.02, czujnik3,37.43
czujnik1,16.17, czujnik2,38.35, czujnik3,37.13
czujnik1,16.17, czujnik2,40.54, czujnik3,37.13
czujnik1,16.17, czujnik2,38.69, czujnik3,37.53
czujnik1,16.17, czujnik2,38.38, czujnik3,37.02
czujnik1,16.17, czujnik2,37.59, czujnik3,37.13
czujnik1,17.01, czujnik2,39.63, czujnik3,37.50
czujnik1,16.19, czujnik2,38.69, czujnik3,37.13
czujnik1,16.58, czujnik2,39.20, czujnik3,37.01
czujnik1,16.60, czujnik2,37.94, czujnik3,37.13
czujnik1,16.17, czujnik2,40.03, czujnik3,37.52
czujnik1,16.19, czujnik2,37.84, czujnik3,23.11
czujnik1,16.19, czujnik2,39.22, czujnik3,37.01
czujnik1,16.17, czujnik2,38.79, czujnik3,37.53
czujnik1,16.19, czujnik2,44.76, czujnik3,37.52
czujnik1,16.19, czujnik2,39.12, czujnik3,22.69
czujnik1,16.17, czujnik2,38.40, czujnik3,37.01
czujnik1,16.17, czujnik2,37.98, czujnik3,37.48
czujnik1,16.17, czujnik2,37.94, czujnik3,37.52
czujnik1,16.19, czujnik2,38.71, czujnik3,37.53
czujnik1,16.19, czujnik2,157.86, czujnik3,37.53
czujnik1,16.60, czujnik2,38.01, czujnik3,37.53
czujnik1,16.58, czujnik2,39.22, czujnik3,37.55
czujnik1,16.17, czujnik2,37.45, czujnik3,24.81
czujnik1,16.60, czujnik2,38.81, czujnik3,37.04
czujnik1,16.17, czujnik2,38.42, czujnik3,37.14
czujnik1,16.60, czujnik2,38.84, czujnik3,37.11
czujnik1,16.58, czujnik2,37.84, czujnik3,37.13
czujnik1,16.17, czujnik2,37.98, czujnik3,23.88
czujnik1,16.17, czujnik2,38.01, czujnik3,37.57
czujnik1,16.60, czujnik2,38.37, czujnik3,37.13
czujnik1,16.19, czujnik2,45.46, czujnik3,37.53
czujnik1,16.19, czujnik2,135.10, czujnik3,37.53
czujnik1,16.19, czujnik2,37.96, czujnik3,24.27
czujnik1,16.17, czujnik2,39.27, czujnik3,37.53
czujnik1,16.17, czujnik2,38.72, czujnik3,37.94
czujnik1,16.17, czujnik2,159.97, czujnik3,37.36
czujnik1,16.17, czujnik2,38.40, czujnik3,37.55
czujnik1,16.60, czujnik2,38.81, czujnik3,37.14
czujnik1,16.19, czujnik2,42.53, czujnik3,23.11
czujnik1,16.19, czujnik2,41.31, czujnik3,37.02
czujnik1,16.17, czujnik2,37.96, czujnik3,37.13
czujnik1,16.19, czujnik2,39.63, czujnik3,37.52
czujnik1,16.60, czujnik2,38.30, czujnik3,37.53
czujnik1,16.19, czujnik2,39.23, czujnik3,23.47
czujnik1,16.17, czujnik2,39.23, czujnik3,23.47
czujnik1,16.17, czujnik2,129.57, czujnik3,37.11
czujnik1,16.17, czujnik2,39.17, czujnik3,23.11
czujnik1,16.17, czujnik2,38.37, czujnik3,37.47
czujnik1,16.60, czujnik2,38.42, czujnik3,37.13
czujnik1,16.17, czujnik2,38.01, czujnik3,37.96
czujnik1,16.17, czujnik2,37.86, czujnik3,37.94
czujnik1,16.19, czujnik2,38.78, czujnik3,37.41
czujnik1,16.17, czujnik2,39.25, czujnik3,37.11
czujnik1,16.17, czujnik2,38.38, czujnik3,22.70
czujnik1,16.17, czujnik2,157.35, czujnik3,37.01
czujnik1,17.01, czujnik2,41.33, czujnik3,37.43
czujnik1,16.17, czujnik2,38.42, czujnik3,37.53
czujnik1,16.19, czujnik2,38.81, czujnik3,37.91
czujnik1,16.19, czujnik2,38.27, czujnik3,37.53
czujnik1,16.19, czujnik2,44.20, czujnik3,37.43
czujnik1,16.19, czujnik2,43.47, czujnik3,37.13
czujnik1,16.17, czujnik2,37.98, czujnik3,37.14
czujnik1,16.17, czujnik2,39.56, czujnik3,37.53
czujnik1,16.19, czujnik2,38.01, czujnik3,23.04
czujnik1,16.19, czujnik2,44.22, czujnik3,22.59
czujnik1,16.19, czujnik2,38.81, czujnik3,37.13
czujnik1,16.17, czujnik2,39.17, czujnik3,37.11
czujnik1,16.58, czujnik2,38.40, czujnik3,37.02
czujnik1,16.17, czujnik2,38.83, czujnik3,37.52
czujnik1,16.17, czujnik2,39.23, czujnik3,37.11
czujnik1,16.19, czujnik2,39.98, czujnik3,23.98
czujnik1,16.17, czujnik2,38.79, czujnik3,22.60
czujnik1,16.17, czujnik2,39.23, czujnik3,37.52
czujnik1,16.19, czujnik2,39.63, czujnik3,23.96
czujnik1,16.16, czujnik2,38.25, czujnik3,37.13
czujnik1,16.17, czujnik2,40.36, czujnik3,37.01
czujnik1,16.17, czujnik2,38.40, czujnik3,37.52
czujnik1,17.01, czujnik2,39.22, czujnik3,37.55
czujnik1,16.17, czujnik2,40.87, czujnik3,37.53
czujnik1,16.60, czujnik2,39.27, czujnik3,23.45
czujnik1,16.17, czujnik2,37.98, czujnik3,37.52
czujnik1,16.60, czujnik2,39.64, czujnik3,37.53
czujnik1,16.17, czujnik2,129.42, czujnik3,37.11
czujnik1,16.17, czujnik2,37.96, czujnik3,37.43
czujnik1,16.60, czujnik2,37.99, czujnik3,23.06
czujnik1,16.58, czujnik2,38.35, czujnik3,23.98
czujnik1,16.19, czujnik2,128.10, czujnik3,37.13
czujnik1,16.60, czujnik2,38.83, czujnik3,37.02
czujnik1,17.01, czujnik2,38.81, czujnik3,37.52
czujnik1,16.17, czujnik2,38.38, czujnik3,23.98
czujnik1,16.19, czujnik2,38.30, czujnik3,37.52
czujnik1,16.58, czujnik2,40.02, czujnik3,37.01
czujnik1,16.60, czujnik2,39.64, czujnik3,37.13
czujnik1,16.19, czujnik2,146.80, czujnik3,37.13
czujnik1,17.01, czujnik2,44.71, czujnik3,37.55
czujnik1,16.60, czujnik2,160.70, czujnik3,37.30
czujnik1,16.60, czujnik2,38.38, czujnik3,37.50
czujnik1,17.01, czujnik2,38.44, czujnik3,37.48
czujnik1,16.60, czujnik2,124.27, czujnik3,37.40
czujnik1,16.17, czujnik2,38.71, czujnik3,37.53
czujnik1,16.17, czujnik2,155.97, czujnik3,37.52
czujnik1,16.26, czujnik2,126.62, czujnik3,37.11
czujnik1,16.60, czujnik2,37.99, czujnik3,37.13
czujnik1,16.58, czujnik2,39.15, czujnik3,22.70
czujnik1,16.17, czujnik2,39.27, czujnik3,37.52
czujnik1,16.58, czujnik2,39.63, czujnik3,37.13
czujnik1,16.17, czujnik2,43.91, czujnik3,37.55
czujnik1,16.60, czujnik2,44.63, czujnik3,37.11
czujnik1,16.58, czujnik2,38.76, czujnik3,23.42
czujnik1,17.01, czujnik2,45.14, czujnik3,23.52
czujnik1,16.17, czujnik2,44.76, czujnik3,23.11
czujnik1,16.17, czujnik2,37.89, czujnik3,37.53
czujnik1,16.17, czujnik2,38.81, czujnik3,37.53
czujnik1,16.17, czujnik2,38.86, czujnik3,37.11
czujnik1,16.60, czujnik2,38.81, czujnik3,37.52
czujnik1,16.19, czujnik2,39.93, czujnik3,23.10
czujnik1,16.60, czujnik2,37.99, czujnik3,22.60
czujnik1,16.60, czujnik2,38.35, czujnik3,37.13
czujnik1,16.19, czujnik2,40.05, czujnik3,37.13
czujnik1,16.60, czujnik2,38.72, czujnik3,37.50
czujnik1,17.01, czujnik2,39.17, czujnik3,23.88
czujnik1,16.17, czujnik2,37.99, czujnik3,37.55
czujnik1,16.19, czujnik2,37.99, czujnik3,37.50
czujnik1,16.99, czujnik2,39.52, czujnik3,37.53
czujnik1,16.60, czujnik2,39.57, czujnik3,37.13
czujnik1,16.19, czujnik2,38.42, czujnik3,37.53
czujnik1,16.58, czujnik2,40.02, czujnik3,37.52
czujnik1,16.58, czujnik2,39.12, czujnik3,22.70
czujnik1,16.17, czujnik2,39.71, czujnik3,37.84
