niczujnik1,27.31, czujnik2,25.19, czujnik3,26.87
czujnik1,28.42, czujnik2,25.37, czujnik3,26.85
czujnik1,39.18, czujnik2,26.24, czujnik3,28.49
czujnik1,37.91, czujnik2,25.49, czujnik3,28.04
czujnik1,27.60, czujnik2,25.49, czujnik3,28.15
czujnik1,26.39, czujnik2,25.39, czujnik3,26.07
czujnik1,27.30, czujnik2,25.85, czujnik3,25.99
czujnik1,27.35, czujnik2,25.12, czujnik3,26.02
czujnik1,26.00, czujnik2,25.54, czujnik3,26.55
czujnik1,29.29, czujnik2,27.11, czujnik3,27.31
czujnik1,37.89, czujnik2,27.47, czujnik3,25.12
czujnik1,38.76, czujnik2,25.94, czujnik3,26.80
czujnik1,27.21, czujnik2,26.39, czujnik3,26.12
czujnik1,26.79, czujnik2,25.46, czujnik3,26.96
czujnik1,27.26, czujnik2,25.00, czujnik3,26.04
czujnik1,27.72, czujnik2,25.56, czujnik3,26.02
czujnik1,28.47, czujnik2,25.58, czujnik3,27.47
czujnik1,28.11, czujnik2,25.94, czujnik3,28.74
czujnik1,27.81, czujnik2,25.99, czujnik3,27.87
czujnik1,37.53, czujnik2,26.12, czujnik3,27.47
czujnik1,29.51, czujnik2,26.96, czujnik3,27.98
czujnik1,29.00, czujnik2,26.43, czujnik3,27.93
czujnik1,30.77, czujnik2,25.99, czujnik3,27.26
czujnik1,37.50, czujnik2,26.45, czujnik3,27.31
czujnik1,37.79, czujnik2,25.56, czujnik3,28.25
czujnik1,29.85, czujnik2,25.51, czujnik3,27.89
czujnik1,28.32, czujnik2,25.99, czujnik3,28.28
czujnik1,37.93, czujnik2,26.14, czujnik3,29.57
czujnik1,27.94, czujnik2,26.17, czujnik3,28.33
czujnik1,30.41, czujnik2,25.20, czujnik3,30.14
czujnik1,37.96, czujnik2,26.07, czujnik3,31.33
czujnik1,28.84, czujnik2,25.71, czujnik3,28.30
czujnik1,28.27, czujnik2,26.04, czujnik3,28.25
czujnik1,26.90, czujnik2,25.48, czujnik3,29.57
czujnik1,28.27, czujnik2,25.53, czujnik3,29.95
czujnik1,27.91, czujnik2,26.55, czujnik3,28.33
czujnik1,28.79, czujnik2,26.63, czujnik3,30.09
czujnik1,28.79, czujnik2,26.51, czujnik3,29.30
