nik1,38.15, czujnik2,38.66, czujnik3,38.37
czujnik1,38.03, czujnik2,39.57, czujnik3,37.91
czujnik1,38.13, czujnik2,38.13, czujnik3,38.72
czujnik1,38.13, czujnik2,43.84, czujnik3,38.21
czujnik1,38.18, czujnik2,38.71, czujnik3,38.74
czujnik1,38.04, czujnik2,39.52, czujnik3,38.32
czujnik1,38.18, czujnik2,38.15, czujnik3,38.37
czujnik1,38.57, czujnik2,38.25, czujnik3,37.86
czujnik1,38.55, czujnik2,39.57, czujnik3,37.91
czujnik1,38.01, czujnik2,38.67, czujnik3,37.94
czujnik1,38.18, czujnik2,38.10, czujnik3,38.40
czujnik1,38.16, czujnik2,38.20, czujnik3,38.27
czujnik1,38.16, czujnik2,39.10, czujnik3,38.37
czujnik1,38.06, czujnik2,39.13, czujnik3,37.94
czujnik1,38.13, czujnik2,39.42, czujnik3,37.91
czujnik1,38.11, czujnik2,38.71, czujnik3,38.21
czujnik1,38.11, czujnik2,38.27, czujnik3,38.33
czujnik1,38.49, czujnik2,39.59, czujnik3,38.35
czujnik1,38.16, czujnik2,40.34, czujnik3,37.94
czujnik1,37.76, czujnik2,38.27, czujnik3,38.21
czujnik1,38.11, czujnik2,38.23, czujnik3,37.96
czujnik1,38.06, czujnik2,37.77, czujnik3,37.94
czujnik1,38.18, czujnik2,38.15, czujnik3,38.32
czujnik1,38.11, czujnik2,39.12, czujnik3,37.81
czujnik1,38.16, czujnik2,40.03, czujnik3,37.96
czujnik1,38.01, czujnik2,40.44, czujnik3,38.32
czujnik1,38.16, czujnik2,40.39, czujnik3,37.94
czujnik1,38.13, czujnik2,38.21, czujnik3,38.32
czujnik1,38.15, czujnik2,40.43, czujnik3,38.37
czujnik1,38.08, czujnik2,39.06, czujnik3,37.96
czujnik1,38.13, czujnik2,39.88, czujnik3,39.15
czujnik1,38.15, czujnik2,38.21, czujnik3,39.08
czujnik1,38.15, czujnik2,38.20, czujnik3,38.32
czujnik1,38.04, czujnik2,39.13, czujnik3,37.94
czujnik1,38.13, czujnik2,39.42, czujnik3,38.38
czujnik1,38.15, czujnik2,38.25, czujnik3,37.84
czujnik1,38.18, czujnik2,38.66, czujnik3,38.35
czujnik1,38.04, czujnik2,40.49, czujnik3,38.71
czujnik1,38.18, czujnik2,38.55, czujnik3,38.33
czujnik1,38.13, czujnik2,38.20, czujnik3,38.25
czujnik1,38.13, czujnik2,40.09, czujnik3,38.37
czujnik1,38.04, czujnik2,40.03, czujnik3,38.37
czujnik1,38.13, czujnik2,39.01, czujnik3,38.37
czujnik1,38.57, czujnik2,39.51, czujnik3,38.25
czujnik1,38.16, czujnik2,38.20, czujnik3,37.96
