nik1,40.36, czujnik2,39.83, czujnik3,24.42
czujnik1,40.03, czujnik2,20.71, czujnik3,20.15
czujnik1,23.13, czujnik2,39.91, czujnik3,20.94
czujnik1,41.17, czujnik2,20.41, czujnik3,21.04
czujnik1,39.44, czujnik2,20.77, czujnik3,20.56
czujnik1,22.69, czujnik2,20.71, czujnik3,19.71
czujnik1,23.50, czujnik2,20.82, czujnik3,20.48
czujnik1,21.85, czujnik2,20.39, czujnik3,22.67
czujnik1,22.99, czujnik2,21.21, czujnik3,22.72
czujnik1,43.13, czujnik2,20.70, czujnik3,20.12
czujnik1,39.54, czujnik2,20.41, czujnik3,21.34
czujnik1,40.43, czujnik2,39.93, czujnik3,21.39
czujnik1,45.60, czujnik2,20.82, czujnik3,21.84
czujnik1,23.04, czujnik2,20.26, czujnik3,23.10
czujnik1,43.66, czujnik2,20.36, czujnik3,21.19
czujnik1,23.08, czujnik2,21.16, czujnik3,26.72
czujnik1,41.82, czujnik2,22.04, czujnik3,37.04
czujnik1,43.47, czujnik2,40.66, czujnik3,29.34
czujnik1,22.67, czujnik2,20.77, czujnik3,29.71
czujnik1,41.12, czujnik2,21.63, czujnik3,29.29
czujnik1,40.37, czujnik2,19.54, czujnik3,22.24
czujnik1,40.43, czujnik2,20.71, czujnik3,20.22
czujnik1,43.52, czujnik2,20.00, czujnik3,20.10
czujnik1,40.80, czujnik2,20.41, czujnik3,21.09
czujnik1,44.44, czujnik2,20.00, czujnik3,20.22
czujnik1,41.24, czujnik2,19.57, czujnik3,19.81
czujnik1,42.82, czujnik2,20.00, czujnik3,20.51
czujnik1,22.70, czujnik2,19.54, czujnik3,21.92
czujnik1,22.13, czujnik2,20.36, czujnik3,21.39
czujnik1,39.63, czujnik2,20.26, czujnik3,22.26
czujnik1,23.50, czujnik2,47.60, czujnik3,21.21
czujnik1,23.86, czujnik2,21.53, czujnik3,19.97
czujnik1,39.49, czujnik2,39.90, czujnik3,19.95
czujnik1,38.76, czujnik2,39.78, czujnik3,19.10
czujnik1,39.95, czujnik2,39.06, czujnik3,19.85
czujnik1,40.05, czujnik2,20.65, czujnik3,19.95
czujnik1,39.54, czujnik2,39.08, czujnik3,19.97
czujnik1,39.18, czujnik2,39.83, czujnik3,20.36
czujnik1,39.56, czujnik2,39.08, czujnik3,19.03
czujnik1,42.81, czujnik2,39.08, czujnik3,19.03
czujnik1,39.49, czujnik2,39.54, czujnik3,19.05
