.czujnik1,43.44, czujnik2,38.98, czujnik3,19.25
czujnik1,40.41, czujnik2,37.70, czujnik3,19.20
czujnik1,26.75, czujnik2,28.74, czujnik3,19.20
czujnik1,43.62, czujnik2,37.81, czujnik3,19.61
czujnik1,40.24, czujnik2,38.21, czujnik3,19.20
czujnik1,39.54, czujnik2,38.13, czujnik3,19.20
czujnik1,39.12, czujnik2,38.21, czujnik3,19.20
czujnik1,40.80, czujnik2,38.21, czujnik3,19.20
czujnik1,39.47, czujnik2,39.54, czujnik3,19.25
czujnik1,24.59, czujnik2,38.55, czujnik3,19.68
czujnik1,24.71, czujnik2,38.25, czujnik3,19.27
czujnik1,23.38, czujnik2,38.25, czujnik3,19.27
czujnik1,23.74, czujnik2,38.71, czujnik3,19.27
czujnik1,23.38, czujnik2,38.13, czujnik3,19.25
czujnik1,23.79, czujnik2,37.82, czujnik3,19.25
czujnik1,23.44, czujnik2,37.87, czujnik3,20.14
czujnik1,22.91, czujnik2,23.16, czujnik3,20.17
czujnik1,23.47, czujnik2,23.96, czujnik3,20.19
czujnik1,38.74, czujnik2,22.35, czujnik3,20.07
czujnik1,23.06, czujnik2,23.21, czujnik3,20.19
czujnik1,23.38, czujnik2,23.67, czujnik3,20.17
czujnik1,23.49, czujnik2,23.57, czujnik3,20.19
czujnik1,23.11, czujnik2,22.81, czujnik3,20.53
czujnik1,22.24, czujnik2,23.27, czujnik3,21.05
czujnik1,21.73, czujnik2,22.86, czujnik3,21.07
czujnik1,21.84, czujnik2,22.30, czujnik3,20.17
czujnik1,21.85, czujnik2,23.28, czujnik3,27.98
czujnik1,21.84, czujnik2,23.27, czujnik3,20.60
czujnik1,21.75, czujnik2,23.23, czujnik3,20.19
czujnik1,22.72, czujnik2,22.76, czujnik3,20.19
czujnik1,22.28, czujnik2,23.25, czujnik3,20.07
czujnik1,22.28, czujnik2,23.67, czujnik3,20.65
czujnik1,21.73, czujnik2,23.74, czujnik3,21.05
czujnik1,22.31, czujnik2,24.85, czujnik3,21.05
czujnik1,21.89, czujnik2,23.95, czujnik3,20.07
czujnik1,22.26, czujnik2,24.08, czujnik3,20.60
czujnik1,22.14, czujnik2,24.05, czujnik3,19.71
czujnik1,22.26, czujnik2,24.34, czujnik3,19.73
czujnik1,22.19, czujnik2,24.76, czujnik3,19.61
czujnik1,22.19, czujnik2,30.22, czujnik3,19.71
czujnik1,22.55, czujnik2,29.47, czujnik3,19.71
czujnik1,22.24, czujnik2,24.73, czujnik3,19.71
czujnik1,22.64, czujnik2,26.85, czujnik3,19.25
czujnik1,22.60, czujnik2,24.44, czujnik3,19.25
czujnik1,22.93, czujnik2,26.07, czujnik3,18.83
czujnik1,23.44, czujnik2,25.97, czujnik3,18.81
czujnik1,24.29, czujnik2,25.99, czujnik3,18.79
czujnik1,24.23, czujnik2,26.90, czujnik3,18.84
czujnik1,24.59, czujnik2,25.22, czujnik3,18.79
czujnik1,25.88, czujnik2,20.56, czujnik3,19.20
czujnik1,27.19, czujnik2,21.07, czujnik3,19.20
czujnik1,38.72, czujnik2,19.80, czujnik3,18.74
czujnik1,27.09, czujnik2,37.86, czujnik3,18.79
czujnik1,38.72, czujnik2,38.16, czujnik3,18.79
