ujnik1,38.84, czujnik2,40.00, czujnik3,10.05
czujnik1,39.17, czujnik2,11.31, czujnik3,9.34
czujnik1,39.64, czujnik2,10.39, czujnik3,9.74
czujnik1,39.68, czujnik2,14.44, czujnik3,8.67
czujnik1,39.56, czujnik2,11.29, czujnik3,7.24
czujnik1,39.29, czujnik2,10.32, czujnik3,8.06
czujnik1,39.64, czujnik2,10.32, czujnik3,9.20
czujnik1,39.27, czujnik2,10.32, czujnik3,11.70
czujnik1,39.57, czujnik2,10.48, czujnik3,11.29
czujnik1,39.25, czujnik2,9.93, czujnik3,9.29
czujnik1,39.64, czujnik2,13.28, czujnik3,8.67
czujnik1,39.30, czujnik2,10.43, czujnik3,8.37
czujnik1,39.18, czujnik2,11.72, czujnik3,9.76
czujnik1,39.69, czujnik2,10.78, czujnik3,9.34
czujnik1,39.25, czujnik2,11.60, czujnik3,7.14
czujnik1,39.27, czujnik2,10.49, czujnik3,8.01
czujnik1,39.52, czujnik2,10.07, czujnik3,8.52
czujnik1,39.64, czujnik2,10.37, czujnik3,10.17
czujnik1,39.27, czujnik2,10.37, czujnik3,9.13
czujnik1,39.29, czujnik2,10.90, czujnik3,10.48
czujnik1,39.57, czujnik2,12.98, czujnik3,7.24
czujnik1,39.64, czujnik2,12.07, czujnik3,9.34
czujnik1,39.69, czujnik2,10.78, czujnik3,9.54
czujnik1,39.13, czujnik2,10.90, czujnik3,7.65
czujnik1,39.57, czujnik2,10.37, czujnik3,8.06
czujnik1,39.64, czujnik2,10.37, czujnik3,8.42
czujnik1,39.25, czujnik2,10.37, czujnik3,9.64
czujnik1,39.15, czujnik2,9.66, czujnik3,7.24
czujnik1,39.69, czujnik2,10.37, czujnik3,7.23
czujnik1,39.23, czujnik2,10.80, czujnik3,9.23
czujnik1,39.69, czujnik2,11.19, czujnik3,9.64
czujnik1,39.17, czujnik2,10.07, czujnik3,7.65
czujnik1,39.23, czujnik2,10.37, czujnik3,7.23
czujnik1,39.27, czujnik2,10.02, czujnik3,10.07
czujnik1,39.27, czujnik2,10.07, czujnik3,9.59
czujnik1,39.17, czujnik2,11.75, czujnik3,7.65
czujnik1,39.29, czujnik2,10.37, czujnik3,9.74
czujnik1,39.29, czujnik2,10.78, czujnik3,8.83
czujnik1,39.59, czujnik2,12.16, czujnik3,8.52
