k1,38.61, czujnik2,26.09, czujnik3,38.38
czujnik1,38.16, czujnik2,18.57, czujnik3,21.58
czujnik1,39.01, czujnik2,25.82, czujnik3,22.74
czujnik1,38.59, czujnik2,43.91, czujnik3,38.37
czujnik1,21.80, czujnik2,28.47, czujnik3,38.37
czujnik1,38.20, czujnik2,18.55, czujnik3,38.38
czujnik1,38.62, czujnik2,18.57, czujnik3,38.27
czujnik1,38.16, czujnik2,20.31, czujnik3,38.35
czujnik1,38.52, czujnik2,18.16, czujnik3,38.37
czujnik1,38.20, czujnik2,39.03, czujnik3,38.37
czujnik1,38.55, czujnik2,19.03, czujnik3,38.25
czujnik1,38.15, czujnik2,19.03, czujnik3,37.91
czujnik1,19.69, czujnik2,40.12, czujnik3,38.37
czujnik1,38.21, czujnik2,40.41, czujnik3,37.50
czujnik1,21.48, czujnik2,19.49, czujnik3,37.84
czujnik1,38.62, czujnik2,20.37, czujnik3,38.40
czujnik1,38.93, czujnik2,40.05, czujnik3,38.32
