czczujnik1,26.05, czujnik2,24.56, czujnik3,25.68
czujnik1,25.94, czujnik2,26.45, czujnik3,35.24
czujnik1,26.33, czujnik2,26.34, czujnik3,37.28
czujnik1,25.99, czujnik2,26.39, czujnik3,31.62
czujnik1,25.63, czujnik2,26.90, czujnik3,33.54
czujnik1,26.29, czujnik2,25.99, czujnik3,29.37
czujnik1,26.24, czujnik2,26.70, czujnik3,29.01
czujnik1,26.80, czujnik2,37.55, czujnik3,31.53
czujnik1,26.43, czujnik2,37.11, czujnik3,26.90
czujnik1,26.38, czujnik2,37.57, czujnik3,36.84
czujnik1,26.33, czujnik2,37.87, czujnik3,30.36
czujnik1,26.84, czujnik2,38.38, czujnik3,31.50
czujnik1,26.84, czujnik2,37.99, czujnik3,29.37
czujnik1,26.73, czujnik2,37.98, czujnik3,30.19
czujnik1,26.22, czujnik2,37.89, czujnik3,29.40
czujnik1,26.73, czujnik2,38.45, czujnik3,29.71
czujnik1,26.73, czujnik2,38.47, czujnik3,29.35
czujnik1,26.22, czujnik2,37.98, czujnik3,30.71
czujnik1,25.88, czujnik2,38.33, czujnik3,29.15
czujnik1,26.02, czujnik2,38.42, czujnik3,35.17
czujnik1,26.84, czujnik2,38.40, czujnik3,29.06
czujnik1,25.94, czujnik2,38.40, czujnik3,29.10
czujnik1,25.92, czujnik2,37.93, czujnik3,32.41
