,22.40, czujnik2,20.20, czujnik3,17.01
czujnik1,38.03, czujnik2,38.27, czujnik3,37.43
czujnik1,38.55, czujnik2,38.13, czujnik3,37.96
czujnik1,38.55, czujnik2,38.21, czujnik3,37.84
czujnik1,38.15, czujnik2,38.21, czujnik3,37.91
czujnik1,38.06, czujnik2,39.08, czujnik3,38.33
czujnik1,38.55, czujnik2,39.49, czujnik3,37.91
czujnik1,38.15, czujnik2,38.61, czujnik3,38.21
czujnik1,38.16, czujnik2,39.12, czujnik3,37.86
czujnik1,38.04, czujnik2,39.12, czujnik3,37.91
czujnik1,38.16, czujnik2,38.11, czujnik3,37.87
czujnik1,38.15, czujnik2,38.66, czujnik3,21.53
czujnik1,38.52, czujnik2,38.66, czujnik3,38.32
czujnik1,38.03, czujnik2,38.21, czujnik3,19.93
czujnik1,38.57, czujnik2,45.51, czujnik3,37.91
czujnik1,38.16, czujnik2,39.49, czujnik3,19.85
czujnik1,38.15, czujnik2,38.20, czujnik3,19.12
czujnik1,38.06, czujnik2,20.56, czujnik3,19.13
czujnik1,38.15, czujnik2,22.55, czujnik3,18.71
czujnik1,38.55, czujnik2,22.24, czujnik3,18.71
czujnik1,38.16, czujnik2,20.61, czujnik3,19.52
czujnik1,38.45, czujnik2,38.18, czujnik3,19.12
czujnik1,38.55, czujnik2,38.55, czujnik3,19.06
czujnik1,38.15, czujnik2,21.41, czujnik3,18.71
czujnik1,38.15, czujnik2,21.84, czujnik3,18.25
czujnik1,37.64, czujnik2,22.65, czujnik3,18.71
czujnik1,25.10, czujnik2,20.46, czujnik3,19.12
czujnik1,25.17, czujnik2,21.43, czujnik3,18.30
czujnik1,23.95, czujnik2,20.20, czujnik3,18.25
czujnik1,24.23, czujnik2,20.61, czujnik3,18.30
czujnik1,24.29, czujnik2,21.80, czujnik3,18.25
