nczujnik1,37.74, czujnik2,38.66, czujnik3,27.59
czujnik1,38.61, czujnik2,37.81, czujnik3,19.80
czujnik1,38.06, czujnik2,39.12, czujnik3,19.35
czujnik1,37.74, czujnik2,39.06, czujnik3,18.08
czujnik1,37.77, czujnik2,39.57, czujnik3,19.35
czujnik1,37.74, czujnik2,39.13, czujnik3,27.62
czujnik1,37.69, czujnik2,38.23, czujnik3,18.50
czujnik1,37.74, czujnik2,38.55, czujnik3,23.52
czujnik1,37.74, czujnik2,38.67, czujnik3,19.68
czujnik1,37.72, czujnik2,38.72, czujnik3,38.01
czujnik1,38.06, czujnik2,19.34, czujnik3,20.66
czujnik1,38.15, czujnik2,39.01, czujnik3,19.83
czujnik1,37.74, czujnik2,38.72, czujnik3,20.05
czujnik1,38.55, czujnik2,38.27, czujnik3,21.41
czujnik1,37.64, czujnik2,28.93, czujnik3,19.32
czujnik1,38.20, czujnik2,38.13, czujnik3,20.14
czujnik1,38.13, czujnik2,38.20, czujnik3,37.41
czujnik1,37.74, czujnik2,19.34, czujnik3,38.42
czujnik1,37.24, czujnik2,17.24, czujnik3,20.66
czujnik1,38.21, czujnik2,26.79, czujnik3,37.96
czujnik1,37.79, czujnik2,25.54, czujnik3,37.84
czujnik1,37.79, czujnik2,38.71, czujnik3,38.37
czujnik1,38.44, czujnik2,39.13, czujnik3,19.52
czujnik1,37.76, czujnik2,39.01, czujnik3,20.85
czujnik1,38.55, czujnik2,38.66, czujnik3,37.41
czujnik1,38.15, czujnik2,38.66, czujnik3,38.35
czujnik1,38.04, czujnik2,17.70, czujnik3,19.63
czujnik1,37.74, czujnik2,38.61, czujnik3,19.57
czujnik1,38.55, czujnik2,39.13, czujnik3,22.43
czujnik1,37.77, czujnik2,18.55, czujnik3,20.90
czujnik1,38.08, czujnik2,38.67, czujnik3,20.44
czujnik1,38.16, czujnik2,17.30, czujnik3,20.39
czujnik1,38.55, czujnik2,17.69, czujnik3,20.75
czujnik1,37.79, czujnik2,38.66, czujnik3,20.03
czujnik1,37.69, czujnik2,39.10, czujnik3,23.37
czujnik1,38.20, czujnik2,17.28, czujnik3,20.80
czujnik1,38.15, czujnik2,22.77, czujnik3,20.80
czujnik1,38.59, czujnik2,19.44, czujnik3,22.53
czujnik1,38.45, czujnik2,17.76, czujnik3,22.55
czujnik1,38.55, czujnik2,38.10, czujnik3,20.03
czujnik1,38.16, czujnik2,38.23, czujnik3,20.39
czujnik1,38.57, czujnik2,18.62, czujnik3,21.77
czujnik1,38.45, czujnik2,39.57, czujnik3,21.31
czujnik1,38.15, czujnik2,18.62, czujnik3,20.03
czujnik1,38.18, czujnik2,19.03, czujnik3,20.34
czujnik1,38.13, czujnik2,18.62, czujnik3,20.07
czujnik1,38.47, czujnik2,38.20, czujnik3,19.98
czujnik1,38.16, czujnik2,38.13, czujnik3,20.85
czujnik1,38.15, czujnik2,18.55, czujnik3,20.73
czujnik1,38.62, czujnik2,18.15, czujnik3,19.98
czujnik1,38.06, czujnik2,18.57, czujnik3,20.39
czujnik1,38.16, czujnik2,38.55, czujnik3,22.48
czujnik1,38.55, czujnik2,17.30, czujnik3,21.12
czujnik1,38.55, czujnik2,18.10, czujnik3,21.62
czujnik1,38.04, czujnik2,16.84, czujnik3,19.00
czujnik1,38.18, czujnik2,18.52, czujnik3,24.18
czujnik1,38.18, czujnik2,18.11, czujnik3,20.27
czujnik1,38.15, czujnik2,17.70, czujnik3,20.80
czujnik1,38.10, czujnik2,17.70, czujnik3,19.52
czujnik1,38.61, czujnik2,17.70, czujnik3,19.52
