nik1,39.63, czujnik2,40.56, czujnik3,14.27
czujnik1,39.71, czujnik2,39.63, czujnik3,9.03
czujnik1,39.69, czujnik2,41.39, czujnik3,9.85
czujnik1,40.15, czujnik2,39.25, czujnik3,8.52
czujnik1,39.59, czujnik2,39.27, czujnik3,9.49
czujnik1,39.69, czujnik2,40.48, czujnik3,9.03
czujnik1,39.69, czujnik2,39.73, czujnik3,9.39
czujnik1,39.71, czujnik2,39.25, czujnik3,8.93
czujnik1,39.57, czujnik2,39.27, czujnik3,9.49
czujnik1,39.68, czujnik2,39.59, czujnik3,9.95
czujnik1,39.27, czujnik2,39.68, czujnik3,8.52
czujnik1,39.71, czujnik2,40.15, czujnik3,8.52
czujnik1,39.15, czujnik2,40.14, czujnik3,9.05
czujnik1,39.27, czujnik2,39.61, czujnik3,8.10
czujnik1,39.69, czujnik2,43.52, czujnik3,8.93
czujnik1,39.59, czujnik2,41.46, czujnik3,8.62
czujnik1,39.23, czujnik2,39.57, czujnik3,8.16
czujnik1,40.10, czujnik2,39.27, czujnik3,8.93
czujnik1,39.29, czujnik2,40.58, czujnik3,9.37
czujnik1,39.54, czujnik2,40.14, czujnik3,9.51
czujnik1,39.68, czujnik2,39.17, czujnik3,9.03
czujnik1,39.69, czujnik2,39.71, czujnik3,8.93
czujnik1,39.68, czujnik2,41.43, czujnik3,8.52
czujnik1,39.59, czujnik2,39.27, czujnik3,7.76
czujnik1,40.10, czujnik2,39.57, czujnik3,9.49
czujnik1,39.69, czujnik2,39.71, czujnik3,9.39
czujnik1,39.69, czujnik2,111.00, czujnik3,8.93
czujnik1,39.57, czujnik2,41.00, czujnik3,7.76
czujnik1,39.27, czujnik2,42.23, czujnik3,9.03
czujnik1,39.69, czujnik2,39.68, czujnik3,8.93
czujnik1,39.59, czujnik2,39.23, czujnik3,7.76
czujnik1,39.57, czujnik2,40.02, czujnik3,8.16
czujnik1,39.29, czujnik2,40.48, czujnik3,8.93
czujnik1,39.64, czujnik2,39.23, czujnik3,8.06
czujnik1,40.02, czujnik2,41.00, czujnik3,9.03
czujnik1,40.03, czujnik2,39.57, czujnik3,7.76
czujnik1,39.73, czujnik2,40.14, czujnik3,8.06
czujnik1,39.29, czujnik2,40.14, czujnik3,7.65
