nik1,37.91, czujnik2,38.06, czujnik3,27.93
czujnik1,38.42, czujnik2,29.71, czujnik3,30.48
czujnik1,37.93, czujnik2,28.93, czujnik3,37.57
czujnik1,38.40, czujnik2,29.29, czujnik3,28.86
czujnik1,38.44, czujnik2,29.34, czujnik3,28.35
czujnik1,38.79, czujnik2,30.63, czujnik3,28.81
czujnik1,38.33, czujnik2,29.46, czujnik3,37.59
czujnik1,39.25, czujnik2,29.69, czujnik3,37.59
czujnik1,38.04, czujnik2,28.89, czujnik3,28.78
czujnik1,40.07, czujnik2,30.15, czujnik3,29.25
czujnik1,39.57, czujnik2,29.46, czujnik3,29.73
czujnik1,38.86, czujnik2,29.83, czujnik3,36.79
czujnik1,38.84, czujnik2,29.81, czujnik3,29.71
czujnik1,38.81, czujnik2,30.66, czujnik3,28.86
czujnik1,38.71, czujnik2,29.51, czujnik3,36.36
czujnik1,31.12, czujnik2,29.35, czujnik3,28.91
czujnik1,37.99, czujnik2,28.38, czujnik3,37.50
czujnik1,37.57, czujnik2,28.33, czujnik3,37.19
czujnik1,37.47, czujnik2,38.88, czujnik3,32.02
czujnik1,37.94, czujnik2,29.66, czujnik3,37.16
czujnik1,31.43, czujnik2,29.68, czujnik3,36.79
czujnik1,37.16, czujnik2,29.68, czujnik3,36.75
czujnik1,31.89, czujnik2,29.85, czujnik3,37.19
czujnik1,31.07, czujnik2,29.76, czujnik3,37.18
czujnik1,38.40, czujnik2,28.89, czujnik3,37.48
czujnik1,33.03, czujnik2,28.81, czujnik3,37.19
czujnik1,32.07, czujnik2,29.30, czujnik3,37.62
czujnik1,30.49, czujnik2,30.07, czujnik3,37.19
czujnik1,37.13, czujnik2,29.25, czujnik3,37.50
czujnik1,31.99, czujnik2,28.84, czujnik3,37.23
czujnik1,31.05, czujnik2,29.40, czujnik3,34.22
czujnik1,31.53, czujnik2,28.95, czujnik3,37.60
czujnik1,31.16, czujnik2,29.35, czujnik3,37.53
czujnik1,37.62, czujnik2,28.84, czujnik3,37.18
czujnik1,31.43, czujnik2,28.44, czujnik3,37.62
czujnik1,30.97, czujnik2,28.76, czujnik3,36.79
czujnik1,30.97, czujnik2,28.28, czujnik3,37.50
czujnik1,31.00, czujnik2,29.15, czujnik3,37.18
czujnik1,31.36, czujnik2,28.89, czujnik3,37.99
czujnik1,31.43, czujnik2,29.25, czujnik3,37.16
czujnik1,37.59, czujnik2,29.74, czujnik3,37.09
czujnik1,30.77, czujnik2,29.30, czujnik3,37.59
