0.czujnik1,13.40, czujnik2,15.29, czujnik3,9.29
czujnik1,11.84, czujnik2,11.55, czujnik3,9.34
czujnik1,13.62, czujnik2,39.93, czujnik3,9.34
czujnik1,12.24, czujnik2,39.46, czujnik3,9.80
czujnik1,12.24, czujnik2,14.05, czujnik3,9.85
czujnik1,12.24, czujnik2,11.55, czujnik3,9.80
czujnik1,13.21, czujnik2,12.38, czujnik3,9.85
czujnik1,11.38, czujnik2,11.65, czujnik3,9.90
czujnik1,11.43, czujnik2,10.73, czujnik3,9.95
czujnik1,13.57, czujnik2,10.32, czujnik3,9.83
czujnik1,14.08, czujnik2,10.83, czujnik3,9.80
czujnik1,11.43, czujnik2,11.24, czujnik3,9.90
czujnik1,12.30, czujnik2,10.71, czujnik3,9.49
czujnik1,11.53, czujnik2,10.71, czujnik3,9.34
czujnik1,13.27, czujnik2,10.83, czujnik3,9.83
czujnik1,11.02, czujnik2,10.32, czujnik3,9.95
czujnik1,12.30, czujnik2,10.32, czujnik3,9.85
czujnik1,11.55, czujnik2,10.73, czujnik3,9.85
czujnik1,11.43, czujnik2,10.43, czujnik3,9.85
czujnik1,11.02, czujnik2,10.32, czujnik3,9.95
czujnik1,11.43, czujnik2,11.14, czujnik3,9.80
czujnik1,12.40, czujnik2,10.68, czujnik3,9.34
czujnik1,11.43, czujnik2,10.37, czujnik3,9.03
czujnik1,10.97, czujnik2,10.68, czujnik3,9.47
czujnik1,11.09, czujnik2,11.50, czujnik3,8.47
czujnik1,11.53, czujnik2,10.37, czujnik3,8.91
czujnik1,11.43, czujnik2,10.78, czujnik3,8.98
czujnik1,11.43, czujnik2,10.68, czujnik3,9.90
czujnik1,11.53, czujnik2,10.26, czujnik3,9.34
czujnik1,11.12, czujnik2,10.78, czujnik3,9.39
czujnik1,12.30, czujnik2,10.83, czujnik3,9.44
czujnik1,11.02, czujnik2,10.68, czujnik3,9.40
czujnik1,11.53, czujnik2,10.68, czujnik3,9.85
czujnik1,11.43, czujnik2,10.83, czujnik3,9.80
czujnik1,11.89, czujnik2,11.14, czujnik3,9.95
czujnik1,11.89, czujnik2,10.32, czujnik3,9.80
czujnik1,12.01, czujnik2,10.73, czujnik3,9.80
czujnik1,11.90, czujnik2,10.43, czujnik3,9.90
czujnik1,11.90, czujnik2,10.32, czujnik3,10.36
czujnik1,11.02, czujnik2,10.32, czujnik3,10.29
czujnik1,12.04, czujnik2,10.48, czujnik3,10.31
czujnik1,11.94, czujnik2,10.48, czujnik3,10.48
czujnik1,11.96, czujnik2,10.37, czujnik3,10.51
czujnik1,11.94, czujnik2,9.97, czujnik3,9.95
czujnik1,13.78, czujnik2,10.07, czujnik3,10.05
czujnik1,11.48, czujnik2,10.53, czujnik3,10.07
czujnik1,13.27, czujnik2,9.97, czujnik3,10.41
czujnik1,13.67, czujnik2,9.97, czujnik3,10.31
