Zczujnik1,37.86, czujnik2,29.30, czujnik3,25.53
czujnik1,27.67, czujnik2,38.88, czujnik3,25.43
czujnik1,26.41, czujnik2,30.77, czujnik3,26.22
czujnik1,26.72, czujnik2,31.24, czujnik3,25.43
czujnik1,26.67, czujnik2,26.58, czujnik3,26.28
czujnik1,27.23, czujnik2,26.14, czujnik3,25.32
czujnik1,27.21, czujnik2,30.68, czujnik3,26.19
czujnik1,27.52, czujnik2,32.65, czujnik3,25.83
czujnik1,27.94, czujnik2,31.90, czujnik3,25.37
czujnik1,27.14, czujnik2,28.21, czujnik3,25.73
czujnik1,39.18, czujnik2,31.50, czujnik3,25.32
czujnik1,38.66, czujnik2,27.06, czujnik3,25.37
czujnik1,26.58, czujnik2,34.66, czujnik3,25.32
czujnik1,27.09, czujnik2,31.04, czujnik3,25.22
czujnik1,26.24, czujnik2,27.41, czujnik3,25.22
czujnik1,26.55, czujnik2,27.41, czujnik3,25.31
czujnik1,27.82, czujnik2,30.12, czujnik3,24.86
czujnik1,27.06, czujnik2,26.85, czujnik3,25.22
czujnik1,26.22, czujnik2,30.58, czujnik3,25.20
czujnik1,37.86, czujnik2,31.96, czujnik3,25.32
czujnik1,37.98, czujnik2,31.39, czujnik3,25.32
czujnik1,27.52, czujnik2,30.53, czujnik3,25.61
czujnik1,26.65, czujnik2,29.71, czujnik3,25.20
czujnik1,26.96, czujnik2,30.65, czujnik3,25.26
czujnik1,26.55, czujnik2,30.95, czujnik3,25.27
