ujnik1,38.06, czujnik2,16.63, czujnik3,37.55
czujnik1,16.41, czujnik2,18.35, czujnik3,13.10
czujnik1,16.04, czujnik2,18.35, czujnik3,12.74
czujnik1,16.87, czujnik2,18.37, czujnik3,12.21
czujnik1,16.41, czujnik2,18.71, czujnik3,12.21
czujnik1,16.00, czujnik2,18.30, czujnik3,12.64
czujnik1,16.00, czujnik2,17.50, czujnik3,12.33
czujnik1,16.41, czujnik2,17.48, czujnik3,12.62
czujnik1,16.41, czujnik2,17.53, czujnik3,12.62
czujnik1,16.85, czujnik2,19.98, czujnik3,13.03
czujnik1,16.87, czujnik2,17.96, czujnik3,12.74
czujnik1,16.43, czujnik2,17.94, czujnik3,12.26
czujnik1,16.87, czujnik2,18.78, czujnik3,13.08
czujnik1,16.87, czujnik2,17.99, czujnik3,13.08
czujnik1,16.00, czujnik2,17.13, czujnik3,12.74
czujnik1,16.02, czujnik2,19.57, czujnik3,12.67
czujnik1,16.87, czujnik2,17.53, czujnik3,12.28
czujnik1,16.46, czujnik2,17.18, czujnik3,12.67
czujnik1,16.46, czujnik2,38.59, czujnik3,13.18
czujnik1,16.04, czujnik2,19.68, czujnik3,12.67
czujnik1,16.46, czujnik2,19.27, czujnik3,13.54
czujnik1,19.01, czujnik2,19.29, czujnik3,13.95
czujnik1,19.01, czujnik2,39.01, czujnik3,14.52
czujnik1,17.31, czujnik2,16.84, czujnik3,37.86
