uczujnik1,32.91, czujnik2,25.99, czujnik3,26.02
czujnik1,27.76, czujnik2,27.31, czujnik3,26.85
czujnik1,27.76, czujnik2,26.28, czujnik3,27.59
czujnik1,28.18, czujnik2,26.17, czujnik3,26.60
czujnik1,28.08, czujnik2,26.63, czujnik3,26.09
czujnik1,27.53, czujnik2,26.19, czujnik3,27.81
czujnik1,29.18, czujnik2,26.09, czujnik3,28.64
czujnik1,27.62, czujnik2,26.04, czujnik3,27.70
czujnik1,28.01, czujnik2,26.14, czujnik3,28.13
czujnik1,27.41, czujnik2,26.02, czujnik3,26.84
czujnik1,28.18, czujnik2,25.87, czujnik3,26.80
czujnik1,27.41, czujnik2,25.92, czujnik3,27.62
czujnik1,38.37, czujnik2,26.09, czujnik3,26.79
czujnik1,38.61, czujnik2,26.09, czujnik3,26.90
czujnik1,27.41, czujnik2,27.26, czujnik3,25.66
