jczujnik1,38.64, czujnik2,28.44, czujnik3,37.72
czujnik1,39.42, czujnik2,26.29, czujnik3,30.14
czujnik1,39.44, czujnik2,25.82, czujnik3,30.10
czujnik1,39.42, czujnik2,26.34, czujnik3,38.23
czujnik1,39.34, czujnik2,25.97, czujnik3,37.79
czujnik1,39.83, czujnik2,26.28, czujnik3,37.82
czujnik1,39.47, czujnik2,26.73, czujnik3,38.15
czujnik1,39.49, czujnik2,25.22, czujnik3,37.84
czujnik1,38.93, czujnik2,26.48, czujnik3,38.25
czujnik1,39.47, czujnik2,25.99, czujnik3,38.20
czujnik1,39.44, czujnik2,25.97, czujnik3,38.11
czujnik1,39.88, czujnik2,25.24, czujnik3,38.21
czujnik1,40.22, czujnik2,26.48, czujnik3,29.32
czujnik1,38.69, czujnik2,25.94, czujnik3,29.83
czujnik1,39.06, czujnik2,25.48, czujnik3,37.74
czujnik1,39.03, czujnik2,26.45, czujnik3,28.84
czujnik1,39.00, czujnik2,26.04, czujnik3,38.27
czujnik1,39.05, czujnik2,25.94, czujnik3,37.84
czujnik1,39.06, czujnik2,25.92, czujnik3,31.00
czujnik1,39.00, czujnik2,25.61, czujnik3,38.23
czujnik1,38.93, czujnik2,24.80, czujnik3,28.49
czujnik1,26.84, czujnik2,25.56, czujnik3,30.70
