ujnik1,20.20, czujnik2,17.74, czujnik3,20.54
czujnik1,23.42, czujnik2,20.41, czujnik3,21.02
czujnik1,22.21, czujnik2,18.01, czujnik3,16.60
czujnik1,21.79, czujnik2,17.60, czujnik3,21.36
czujnik1,24.20, czujnik2,18.37, czujnik3,17.01
czujnik1,23.44, czujnik2,19.59, czujnik3,20.09
czujnik1,38.18, czujnik2,20.05, czujnik3,16.60
czujnik1,23.01, czujnik2,18.42, czujnik3,16.19
czujnik1,22.11, czujnik2,18.37, czujnik3,20.09
czujnik1,24.18, czujnik2,18.83, czujnik3,21.36
czujnik1,21.79, czujnik2,18.84, czujnik3,22.59
czujnik1,21.38, czujnik2,17.98, czujnik3,21.82
czujnik1,21.70, czujnik2,20.07, czujnik3,16.19
czujnik1,22.19, czujnik2,19.97, czujnik3,20.54
czujnik1,21.79, czujnik2,19.59, czujnik3,19.56
czujnik1,22.59, czujnik2,18.83, czujnik3,19.66
czujnik1,22.06, czujnik2,18.37, czujnik3,19.27
czujnik1,22.21, czujnik2,18.37, czujnik3,20.14
czujnik1,23.08, czujnik2,17.96, czujnik3,22.14
czujnik1,22.62, czujnik2,20.05, czujnik3,16.19
czujnik1,23.78, czujnik2,18.01, czujnik3,17.47
czujnik1,23.84, czujnik2,18.37, czujnik3,16.60
czujnik1,22.98, czujnik2,17.91, czujnik3,19.20
czujnik1,37.77, czujnik2,17.13, czujnik3,19.25
czujnik1,23.76, czujnik2,18.78, czujnik3,19.68
czujnik1,22.18, czujnik2,18.81, czujnik3,20.17
czujnik1,22.21, czujnik2,17.99, czujnik3,20.03
czujnik1,21.73, czujnik2,17.96, czujnik3,18.76
czujnik1,23.78, czujnik2,17.96, czujnik3,20.03
czujnik1,22.59, czujnik2,19.61, czujnik3,20.14
czujnik1,22.57, czujnik2,18.83, czujnik3,17.89
czujnik1,22.21, czujnik2,19.23, czujnik3,16.19
czujnik1,21.65, czujnik2,20.49, czujnik3,20.14
czujnik1,23.44, czujnik2,18.83, czujnik3,16.60
czujnik1,22.19, czujnik2,17.96, czujnik3,20.09
czujnik1,22.62, czujnik2,19.64, czujnik3,17.01
czujnik1,23.33, czujnik2,18.37, czujnik3,16.14
czujnik1,23.44, czujnik2,20.36, czujnik3,16.60
czujnik1,23.83, czujnik2,19.59, czujnik3,17.01
czujnik1,23.01, czujnik2,19.64, czujnik3,19.22
czujnik1,24.13, czujnik2,19.64, czujnik3,21.36
czujnik1,21.38, czujnik2,20.00, czujnik3,16.17
czujnik1,21.39, czujnik2,20.10, czujnik3,15.77
czujnik1,22.21, czujnik2,19.23, czujnik3,17.47
czujnik1,24.57, czujnik2,18.81, czujnik3,16.60
czujnik1,22.62, czujnik2,19.64, czujnik3,20.95
czujnik1,22.21, czujnik2,20.10, czujnik3,22.53
czujnik1,23.44, czujnik2,20.51, czujnik3,21.41
czujnik1,21.68, czujnik2,18.83, czujnik3,16.17
czujnik1,23.44, czujnik2,20.41, czujnik3,16.19
czujnik1,22.60, czujnik2,21.33, czujnik3,17.43
czujnik1,22.98, czujnik2,20.05, czujnik3,20.92
czujnik1,38.52, czujnik2,20.46, czujnik3,16.17
