uczujnik1,38.59, czujnik2,8.88, czujnik3,10.27
czujnik1,22.48, czujnik2,9.29, czujnik3,10.37
czujnik1,46.70, czujnik2,9.13, czujnik3,10.37
czujnik1,39.15, czujnik2,9.13, czujnik3,10.27
czujnik1,23.40, czujnik2,9.30, czujnik3,10.27
czujnik1,39.91, czujnik2,9.29, czujnik3,10.32
czujnik1,41.73, czujnik2,9.18, czujnik3,10.22
czujnik1,39.98, czujnik2,9.18, czujnik3,10.63
czujnik1,45.87, czujnik2,9.29, czujnik3,10.27
czujnik1,47.96, czujnik2,9.59, czujnik3,10.83
czujnik1,13.84, czujnik2,9.18, czujnik3,10.27
czujnik1,44.29, czujnik2,9.30, czujnik3,11.09
czujnik1,38.08, czujnik2,9.29, czujnik3,10.66
czujnik1,46.28, czujnik2,9.20, czujnik3,10.31
czujnik1,42.99, czujnik2,9.18, czujnik3,10.27
czujnik1,39.54, czujnik2,8.84, czujnik3,10.71
czujnik1,42.89, czujnik2,8.88, czujnik3,10.32
czujnik1,42.89, czujnik2,9.18, czujnik3,10.32
czujnik1,42.14, czujnik2,9.18, czujnik3,10.27
czujnik1,47.65, czujnik2,9.29, czujnik3,10.68
czujnik1,12.67, czujnik2,9.25, czujnik3,10.37
czujnik1,23.40, czujnik2,9.15, czujnik3,10.71
czujnik1,23.40, czujnik2,9.15, czujnik3,10.22
czujnik1,13.49, czujnik2,9.29, czujnik3,11.53
czujnik1,41.63, czujnik2,9.15, czujnik3,10.31
czujnik1,39.54, czujnik2,9.15, czujnik3,10.68
czujnik1,42.11, czujnik2,9.29, czujnik3,10.68
czujnik1,39.88, czujnik2,9.29, czujnik3,10.61
czujnik1,23.71, czujnik2,9.13, czujnik3,10.37
czujnik1,46.68, czujnik2,8.72, czujnik3,10.68
czujnik1,45.12, czujnik2,9.23, czujnik3,11.09
czujnik1,19.83, czujnik2,8.88, czujnik3,10.37
czujnik1,40.02, czujnik2,9.15, czujnik3,10.37
czujnik1,39.57, czujnik2,9.20, czujnik3,10.66
czujnik1,45.99, czujnik2,8.88, czujnik3,10.68
czujnik1,15.31, czujnik2,9.29, czujnik3,10.37
czujnik1,42.91, czujnik2,9.20, czujnik3,10.32
czujnik1,39.01, czujnik2,9.18, czujnik3,10.27
czujnik1,15.00, czujnik2,9.25, czujnik3,10.22
czujnik1,24.13, czujnik2,9.18, czujnik3,10.78
czujnik1,23.42, czujnik2,8.72, czujnik3,10.22
czujnik1,14.49, czujnik2,9.29, czujnik3,10.22
czujnik1,23.72, czujnik2,9.25, czujnik3,10.17
czujnik1,40.00, czujnik2,9.20, czujnik3,11.62
czujnik1,41.29, czujnik2,9.18, czujnik3,10.27
czujnik1,41.72, czujnik2,9.23, czujnik3,10.22
czujnik1,43.32, czujnik2,9.29, czujnik3,10.37
czujnik1,23.40, czujnik2,8.74, czujnik3,10.83
czujnik1,22.98, czujnik2,9.18, czujnik3,10.68
czujnik1,38.61, czujnik2,9.25, czujnik3,10.68
czujnik1,45.48, czujnik2,8.84, czujnik3,10.32
czujnik1,45.41, czujnik2,9.18, czujnik3,10.37
czujnik1,22.99, czujnik2,9.18, czujnik3,10.66
czujnik1,45.53, czujnik2,9.30, czujnik3,10.71
czujnik1,42.89, czujnik2,8.74, czujnik3,10.78
czujnik1,38.59, czujnik2,9.13, czujnik3,10.26
czujnik1,48.38, czujnik2,8.88, czujnik3,10.66
czujnik1,38.08, czujnik2,9.29, czujnik3,10.63
czujnik1,23.28, czujnik2,9.18, czujnik3,10.78
czujnik1,44.25, czujnik2,8.78, czujnik3,10.68
czujnik1,39.00, czujnik2,9.25, czujnik3,10.27
czujnik1,47.16, czujnik2,9.29, czujnik3,10.32
czujnik1,40.00, czujnik2,9.18, czujnik3,10.78
czujnik1,13.89, czujnik2,9.13, czujnik3,10.22
czujnik1,40.44, czujnik2,8.88, czujnik3,10.27
czujnik1,43.32, czujnik2,9.29, czujnik3,10.37
czujnik1,23.81, czujnik2,8.78, czujnik3,9.91
czujnik1,13.06, czujnik2,9.18, czujnik3,10.27
czujnik1,15.41, czujnik2,9.30, czujnik3,10.22
czujnik1,45.02, czujnik2,9.18, czujnik3,10.73
czujnik1,44.59, czujnik2,8.78, czujnik3,10.22
czujnik1,41.70, czujnik2,9.18, czujnik3,10.68
czujnik1,42.43, czujnik2,9.30, czujnik3,10.22
czujnik1,14.20, czujnik2,9.20, czujnik3,10.78
czujnik1,40.00, czujnik2,9.18, czujnik3,10.22
czujnik1,43.01, czujnik2,8.88, czujnik3,10.27
czujnik1,39.88, czujnik2,8.88, czujnik3,10.37
czujnik1,47.52, czujnik2,9.18, czujnik3,10.37
czujnik1,40.44, czujnik2,9.18, czujnik3,10.26
czujnik1,39.01, czujnik2,9.29, czujnik3,10.27
czujnik1,42.45, czujnik2,9.29, czujnik3,10.78
czujnik1,48.38, czujnik2,9.18, czujnik3,10.83
czujnik1,47.98, czujnik2,9.18, czujnik3,10.20
czujnik1,42.59, czujnik2,9.29, czujnik3,10.27
czujnik1,38.47, czujnik2,9.29, czujnik3,10.37
czujnik1,41.28, czujnik2,9.20, czujnik3,10.68
czujnik1,46.82, czujnik2,8.88, czujnik3,10.68
czujnik1,42.04, czujnik2,9.23, czujnik3,10.27
czujnik1,43.33, czujnik2,9.18, czujnik3,12.04
czujnik1,41.72, czujnik2,8.78, czujnik3,10.68
czujnik1,17.40, czujnik2,9.30, czujnik3,10.71
czujnik1,39.46, czujnik2,9.29, czujnik3,10.37
czujnik1,39.03, czujnik2,8.79, czujnik3,10.37
czujnik1,45.14, czujnik2,9.15, czujnik3,10.27
czujnik1,39.15, czujnik2,9.25, czujnik3,10.27
czujnik1,44.20, czujnik2,9.29, czujnik3,10.32
czujnik1,46.28, czujnik2,9.18, czujnik3,10.36
czujnik1,47.99, czujnik2,8.79, czujnik3,10.22
czujnik1,48.49, czujnik2,9.25, czujnik3,11.09
czujnik1,23.30, czujnik2,9.29, czujnik3,10.37
czujnik1,42.55, czujnik2,9.18, czujnik3,10.27
czujnik1,13.33, czujnik2,8.78, czujnik3,10.27
czujnik1,15.36, czujnik2,8.88, czujnik3,10.68
czujnik1,40.34, czujnik2,9.20, czujnik3,10.78
czujnik1,46.70, czujnik2,9.18, czujnik3,10.22
czujnik1,43.37, czujnik2,9.29, czujnik3,10.73
czujnik1,16.19, czujnik2,9.30, czujnik3,10.63
czujnik1,39.01, czujnik2,9.18, czujnik3,10.32
czujnik1,47.14, czujnik2,8.78, czujnik3,11.14
czujnik1,44.68, czujnik2,9.29, czujnik3,10.27
czujnik1,16.14, czujnik2,9.29, czujnik3,11.19
czujnik1,42.06, czujnik2,9.13, czujnik3,10.78
czujnik1,42.55, czujnik2,8.74, czujnik3,10.26
czujnik1,39.57, czujnik2,9.29, czujnik3,10.26
czujnik1,14.20, czujnik2,8.84, czujnik3,10.37
czujnik1,42.43, czujnik2,9.18, czujnik3,10.83
czujnik1,39.98, czujnik2,9.20, czujnik3,10.22
czujnik1,41.68, czujnik2,8.84, czujnik3,10.68
czujnik1,22.89, czujnik2,9.18, czujnik3,10.78
czujnik1,38.57, czujnik2,8.78, czujnik3,10.68
czujnik1,44.69, czujnik2,9.30, czujnik3,10.22
czujnik1,24.12, czujnik2,9.23, czujnik3,10.63
czujnik1,45.00, czujnik2,9.13, czujnik3,10.39
czujnik1,39.57, czujnik2,9.13, czujnik3,10.68
czujnik1,39.01, czujnik2,9.29, czujnik3,10.22
czujnik1,24.12, czujnik2,9.25, czujnik3,10.32
czujnik1,44.56, czujnik2,8.74, czujnik3,10.78
czujnik1,16.99, czujnik2,9.20, czujnik3,10.68
czujnik1,15.87, czujnik2,9.30, czujnik3,10.70
czujnik1,13.49, czujnik2,9.23, czujnik3,11.19
czujnik1,23.83, czujnik2,9.15, czujnik3,10.32
czujnik1,48.38, czujnik2,9.15, czujnik3,11.55
czujnik1,22.94, czujnik2,8.88, czujnik3,10.27
czujnik1,41.62, czujnik2,9.18, czujnik3,11.19
czujnik1,24.22, czujnik2,9.13, czujnik3,10.27
czujnik1,42.13, czujnik2,9.18, czujnik3,10.22
czujnik1,43.74, czujnik2,8.84, czujnik3,10.27
czujnik1,42.02, czujnik2,9.20, czujnik3,10.75
czujnik1,14.15, czujnik2,9.18, czujnik3,10.27
czujnik1,47.21, czujnik2,9.29, czujnik3,10.22
czujnik1,23.28, czujnik2,9.29, czujnik3,10.78
czujnik1,47.11, czujnik2,9.20, czujnik3,11.62
czujnik1,24.22, czujnik2,8.72, czujnik3,10.68
czujnik1,19.93, czujnik2,8.88, czujnik3,10.22
czujnik1,42.86, czujnik2,9.23, czujnik3,10.80
czujnik1,39.57, czujnik2,9.18, czujnik3,10.32
czujnik1,39.00, czujnik2,9.15, czujnik3,11.96
czujnik1,40.85, czujnik2,9.29, czujnik3,10.68
czujnik1,46.28, czujnik2,8.84, czujnik3,10.80
czujnik1,46.29, czujnik2,8.72, czujnik3,10.22
czujnik1,38.61, czujnik2,9.15, czujnik3,10.63
czujnik1,23.71, czujnik2,9.30, czujnik3,10.68
czujnik1,39.42, czujnik2,9.18, czujnik3,10.32
czujnik1,23.40, czujnik2,9.18, czujnik3,10.22
czujnik1,17.01, czujnik2,9.30, czujnik3,10.20
czujnik1,38.50, czujnik2,9.29, czujnik3,11.09
czujnik1,40.75, czujnik2,9.18, czujnik3,10.78
czujnik1,42.53, czujnik2,8.74, czujnik3,10.22
czujnik1,44.71, czujnik2,9.29, czujnik3,10.24
czujnik1,41.63, czujnik2,9.30, czujnik3,10.78
czujnik1,44.98, czujnik2,9.13, czujnik3,10.32
czujnik1,38.61, czujnik2,9.18, czujnik3,10.27
czujnik1,24.63, czujnik2,9.30, czujnik3,11.09
czujnik1,39.88, czujnik2,9.29, czujnik3,10.32
czujnik1,45.43, czujnik2,9.18, czujnik3,10.27
czujnik1,18.64, czujnik2,8.78, czujnik3,10.73
czujnik1,22.43, czujnik2,9.29, czujnik3,10.68
czujnik1,22.91, czujnik2,8.72, czujnik3,10.32
czujnik1,13.89, czujnik2,9.18, czujnik3,10.22
czujnik1,43.45, czujnik2,9.29, czujnik3,10.68
czujnik1,18.57, czujnik2,8.83, czujnik3,10.29
czujnik1,19.51, czujnik2,9.13, czujnik3,10.37
czujnik1,40.43, czujnik2,8.78, czujnik3,10.26
czujnik1,48.04, czujnik2,9.29, czujnik3,10.27
czujnik1,44.98, czujnik2,8.83, czujnik3,10.37
