jczujnik1,9.91, czujnik2,10.85, czujnik3,42.19
czujnik1,10.03, czujnik2,10.70, czujnik3,42.21
czujnik1,10.32, czujnik2,10.65, czujnik3,23.89
czujnik1,9.93, czujnik2,10.54, czujnik3,24.71
czujnik1,10.44, czujnik2,10.60, czujnik3,41.80
czujnik1,10.44, czujnik2,10.65, czujnik3,41.90
czujnik1,10.32, czujnik2,10.65, czujnik3,43.18
czujnik1,10.80, czujnik2,10.61, czujnik3,23.49
czujnik1,10.03, czujnik2,10.54, czujnik3,42.23
czujnik1,10.44, czujnik2,11.11, czujnik3,42.64
czujnik1,9.93, czujnik2,10.63, czujnik3,41.51
czujnik1,10.80, czujnik2,10.58, czujnik3,41.90
czujnik1,10.44, czujnik2,10.58, czujnik3,42.21
czujnik1,10.02, czujnik2,10.65, czujnik3,41.92
czujnik1,10.32, czujnik2,10.70, czujnik3,43.59
czujnik1,9.93, czujnik2,10.54, czujnik3,42.24
czujnik1,10.90, czujnik2,10.58, czujnik3,41.45
czujnik1,10.02, czujnik2,10.65, czujnik3,41.90
czujnik1,10.80, czujnik2,10.65, czujnik3,41.90
czujnik1,9.93, czujnik2,10.60, czujnik3,41.82
czujnik1,10.44, czujnik2,10.53, czujnik3,41.79
czujnik1,10.34, czujnik2,10.68, czujnik3,24.32
czujnik1,10.34, czujnik2,10.58, czujnik3,41.50
czujnik1,9.93, czujnik2,10.58, czujnik3,23.35
czujnik1,10.49, czujnik2,10.54, czujnik3,41.80
czujnik1,9.93, czujnik2,10.68, czujnik3,23.91
czujnik1,10.39, czujnik2,10.58, czujnik3,23.49
czujnik1,9.93, czujnik2,10.53, czujnik3,24.22
czujnik1,10.43, czujnik2,10.58, czujnik3,42.64
czujnik1,10.34, czujnik2,10.68, czujnik3,24.30
czujnik1,10.80, czujnik2,10.60, czujnik3,42.31
czujnik1,9.93, czujnik2,10.54, czujnik3,23.79
czujnik1,10.90, czujnik2,10.58, czujnik3,42.19
czujnik1,10.34, czujnik2,11.09, czujnik3,41.51
czujnik1,10.80, czujnik2,10.60, czujnik3,42.76
czujnik1,10.34, czujnik2,10.94, czujnik3,43.03
czujnik1,10.44, czujnik2,10.58, czujnik3,42.64
czujnik1,10.34, czujnik2,10.29, czujnik3,41.92
czujnik1,9.93, czujnik2,10.58, czujnik3,41.92
czujnik1,10.80, czujnik2,10.58, czujnik3,42.62
czujnik1,10.90, czujnik2,10.99, czujnik3,23.79
czujnik1,10.82, czujnik2,10.68, czujnik3,43.15
czujnik1,10.32, czujnik2,10.54, czujnik3,42.74
czujnik1,10.02, czujnik2,10.58, czujnik3,24.66
czujnik1,10.90, czujnik2,10.58, czujnik3,41.43
czujnik1,9.91, czujnik2,10.63, czujnik3,41.90
czujnik1,9.91, czujnik2,10.58, czujnik3,23.89
czujnik1,10.02, czujnik2,10.54, czujnik3,41.80
czujnik1,10.02, czujnik2,10.70, czujnik3,42.24
czujnik1,9.93, czujnik2,10.65, czujnik3,42.76
czujnik1,10.32, czujnik2,10.54, czujnik3,24.32
czujnik1,10.44, czujnik2,10.53, czujnik3,23.81
czujnik1,10.02, czujnik2,11.05, czujnik3,24.63
czujnik1,10.34, czujnik2,10.65, czujnik3,24.30
czujnik1,10.32, czujnik2,11.00, czujnik3,23.03
czujnik1,10.03, czujnik2,10.54, czujnik3,41.82
czujnik1,10.44, czujnik2,10.70, czujnik3,41.82
czujnik1,10.34, czujnik2,10.65, czujnik3,41.92
czujnik1,10.34, czujnik2,10.60, czujnik3,41.90
czujnik1,10.02, czujnik2,10.49, czujnik3,42.24
czujnik1,10.44, czujnik2,10.60, czujnik3,23.91
czujnik1,9.93, czujnik2,10.68, czujnik3,42.33
czujnik1,9.93, czujnik2,10.60, czujnik3,24.73
czujnik1,10.02, czujnik2,10.53, czujnik3,23.81
czujnik1,10.03, czujnik2,10.65, czujnik3,41.82
czujnik1,9.91, czujnik2,11.05, czujnik3,24.73
czujnik1,10.34, czujnik2,10.58, czujnik3,42.33
czujnik1,10.02, czujnik2,10.54, czujnik3,42.21
czujnik1,10.03, czujnik2,10.63, czujnik3,23.49
czujnik1,9.93, czujnik2,10.70, czujnik3,42.30
czujnik1,10.34, czujnik2,10.53, czujnik3,42.33
czujnik1,10.02, czujnik2,10.53, czujnik3,42.24
czujnik1,10.43, czujnik2,10.65, czujnik3,41.94
czujnik1,10.39, czujnik2,10.70, czujnik3,41.92
czujnik1,10.34, czujnik2,10.54, czujnik3,41.53
czujnik1,10.44, czujnik2,10.99, czujnik3,42.21
czujnik1,10.03, czujnik2,10.70, czujnik3,41.90
czujnik1,9.93, czujnik2,10.63, czujnik3,41.90
czujnik1,10.34, czujnik2,10.58, czujnik3,41.96
czujnik1,10.03, czujnik2,10.58, czujnik3,42.21
czujnik1,10.90, czujnik2,10.68, czujnik3,23.91
czujnik1,10.34, czujnik2,10.65, czujnik3,24.32
czujnik1,9.93, czujnik2,10.54, czujnik3,23.49
czujnik1,10.90, czujnik2,10.58, czujnik3,23.38
czujnik1,10.44, czujnik2,10.63, czujnik3,42.33
czujnik1,10.80, czujnik2,10.68, czujnik3,41.90
czujnik1,10.80, czujnik2,10.53, czujnik3,24.73
czujnik1,10.90, czujnik2,10.53, czujnik3,41.41
czujnik1,10.49, czujnik2,10.68, czujnik3,23.49
czujnik1,9.91, czujnik2,10.58, czujnik3,23.91
czujnik1,10.34, czujnik2,10.58, czujnik3,42.67
czujnik1,10.92, czujnik2,10.53, czujnik3,41.41
czujnik1,10.90, czujnik2,10.63, czujnik3,42.33
czujnik1,9.91, czujnik2,10.53, czujnik3,23.49
czujnik1,10.34, czujnik2,10.54, czujnik3,43.06
czujnik1,10.03, czujnik2,10.53, czujnik3,42.23
czujnik1,9.91, czujnik2,10.63, czujnik3,41.90
czujnik1,10.80, czujnik2,10.17, czujnik3,41.50
czujnik1,10.80, czujnik2,10.58, czujnik3,41.82
czujnik1,10.02, czujnik2,10.53, czujnik3,41.82
czujnik1,10.80, czujnik2,10.63, czujnik3,41.92
czujnik1,9.93, czujnik2,10.65, czujnik3,24.32
czujnik1,9.91, czujnik2,10.54, czujnik3,42.64
czujnik1,10.44, czujnik2,10.53, czujnik3,42.24
czujnik1,9.93, czujnik2,11.11, czujnik3,41.92
czujnik1,9.91, czujnik2,10.53, czujnik3,42.33
czujnik1,10.34, czujnik2,10.58, czujnik3,25.03
czujnik1,10.44, czujnik2,10.58, czujnik3,42.65
czujnik1,9.93, czujnik2,10.63, czujnik3,24.32
czujnik1,9.93, czujnik2,10.17, czujnik3,42.74
czujnik1,10.44, czujnik2,11.04, czujnik3,41.41
czujnik1,10.03, czujnik2,10.70, czujnik3,42.23
czujnik1,10.34, czujnik2,10.70, czujnik3,23.91
czujnik1,9.91, czujnik2,10.53, czujnik3,25.14
czujnik1,10.43, czujnik2,10.53, czujnik3,42.24
czujnik1,10.90, czujnik2,10.63, czujnik3,41.41
czujnik1,10.34, czujnik2,10.68, czujnik3,42.33
czujnik1,9.91, czujnik2,10.60, czujnik3,42.31
czujnik1,10.03, czujnik2,10.99, czujnik3,42.21
czujnik1,10.03, czujnik2,10.68, czujnik3,24.23
czujnik1,10.34, czujnik2,11.09, czujnik3,42.33
czujnik1,10.34, czujnik2,10.58, czujnik3,42.33
czujnik1,10.43, czujnik2,10.58, czujnik3,42.23
czujnik1,10.02, czujnik2,10.63, czujnik3,24.63
czujnik1,9.91, czujnik2,10.68, czujnik3,24.73
czujnik1,10.80, czujnik2,10.58, czujnik3,41.92
czujnik1,10.90, czujnik2,10.54, czujnik3,23.35
czujnik1,10.03, czujnik2,10.65, czujnik3,42.23
czujnik1,10.34, czujnik2,10.68, czujnik3,43.59
czujnik1,9.93, czujnik2,10.58, czujnik3,23.03
czujnik1,10.02, czujnik2,10.63, czujnik3,23.35
czujnik1,10.03, czujnik2,10.63, czujnik3,42.60
czujnik1,9.91, czujnik2,10.65, czujnik3,42.31
czujnik1,9.93, czujnik2,10.60, czujnik3,23.89
czujnik1,10.44, czujnik2,10.53, czujnik3,41.82
czujnik1,10.88, czujnik2,10.70, czujnik3,41.51
czujnik1,9.91, czujnik2,10.70, czujnik3,41.96
czujnik1,9.91, czujnik2,10.54, czujnik3,42.67
czujnik1,10.03, czujnik2,10.53, czujnik3,23.38
czujnik1,10.00, czujnik2,10.70, czujnik3,41.92
czujnik1,9.91, czujnik2,10.17, czujnik3,43.57
czujnik1,10.34, czujnik2,10.60, czujnik3,43.06
czujnik1,10.03, czujnik2,10.95, czujnik3,23.37
czujnik1,10.34, czujnik2,10.63, czujnik3,42.35
czujnik1,10.80, czujnik2,10.60, czujnik3,41.92
czujnik1,10.34, czujnik2,10.58, czujnik3,41.43
czujnik1,10.49, czujnik2,10.58, czujnik3,23.37
czujnik1,9.93, czujnik2,10.27, czujnik3,42.31
czujnik1,10.80, czujnik2,10.14, czujnik3,41.53
czujnik1,10.80, czujnik2,10.19, czujnik3,41.84
czujnik1,10.44, czujnik2,10.58, czujnik3,25.07
czujnik1,9.91, czujnik2,10.65, czujnik3,42.30
czujnik1,9.93, czujnik2,10.63, czujnik3,42.33
czujnik1,9.93, czujnik2,10.12, czujnik3,41.84
czujnik1,10.03, czujnik2,10.58, czujnik3,42.65
czujnik1,10.34, czujnik2,10.63, czujnik3,41.90
czujnik1,9.93, czujnik2,10.58, czujnik3,41.55
czujnik1,10.39, czujnik2,10.53, czujnik3,23.79
czujnik1,10.03, czujnik2,10.58, czujnik3,42.23
czujnik1,9.91, czujnik2,10.68, czujnik3,24.76
czujnik1,10.34, czujnik2,10.54, czujnik3,42.74
czujnik1,10.44, czujnik2,10.58, czujnik3,23.38
czujnik1,10.03, czujnik2,10.58, czujnik3,42.64
czujnik1,9.93, czujnik2,10.65, czujnik3,23.89
czujnik1,10.34, czujnik2,10.60, czujnik3,41.53
czujnik1,10.80, czujnik2,10.60, czujnik3,23.37
czujnik1,10.90, czujnik2,10.65, czujnik3,41.80
czujnik1,9.91, czujnik2,10.65, czujnik3,23.89
czujnik1,9.93, czujnik2,10.60, czujnik3,42.31
czujnik1,10.90, czujnik2,10.60, czujnik3,41.85
czujnik1,10.90, czujnik2,10.73, czujnik3,41.84
czujnik1,10.34, czujnik2,10.65, czujnik3,41.90
czujnik1,10.34, czujnik2,10.53, czujnik3,41.92
czujnik1,10.44, czujnik2,10.58, czujnik3,41.41
czujnik1,10.02, czujnik2,10.65, czujnik3,41.45
czujnik1,9.91, czujnik2,10.65, czujnik3,42.76
czujnik1,9.91, czujnik2,10.58, czujnik3,42.77
czujnik1,10.02, czujnik2,10.58, czujnik3,41.84
czujnik1,10.03, czujnik2,10.63, czujnik3,24.30
czujnik1,10.80, czujnik2,10.63, czujnik3,41.94
czujnik1,10.32, czujnik2,10.58, czujnik3,41.96
czujnik1,10.88, czujnik2,10.54, czujnik3,41.82
czujnik1,10.90, czujnik2,10.68, czujnik3,42.65
czujnik1,10.80, czujnik2,10.63, czujnik3,24.35
czujnik1,9.91, czujnik2,10.54, czujnik3,25.15
czujnik1,10.02, czujnik2,10.53, czujnik3,42.65
czujnik1,10.02, czujnik2,10.70, czujnik3,42.24
czujnik1,9.93, czujnik2,10.68, czujnik3,42.31
czujnik1,10.34, czujnik2,10.54, czujnik3,42.72
czujnik1,10.44, czujnik2,10.58, czujnik3,22.93
czujnik1,10.02, czujnik2,10.65, czujnik3,41.90
czujnik1,9.93, czujnik2,10.65, czujnik3,42.31
czujnik1,9.52, czujnik2,10.60, czujnik3,24.23
czujnik1,10.03, czujnik2,10.60, czujnik3,42.23
czujnik1,9.98, czujnik2,10.65, czujnik3,24.71
czujnik1,9.91, czujnik2,10.54, czujnik3,23.89
czujnik1,10.34, czujnik2,10.54, czujnik3,22.93
czujnik1,10.03, czujnik2,10.99, czujnik3,41.82
czujnik1,9.93, czujnik2,10.63, czujnik3,41.51
czujnik1,9.91, czujnik2,10.63, czujnik3,41.92
czujnik1,10.80, czujnik2,10.58, czujnik3,41.82
czujnik1,10.03, czujnik2,10.95, czujnik3,41.82
czujnik1,10.34, czujnik2,10.70, czujnik3,23.89
czujnik1,9.91, czujnik2,10.54, czujnik3,23.49
czujnik1,10.34, czujnik2,10.53, czujnik3,43.04
czujnik1,10.90, czujnik2,10.53, czujnik3,41.41
czujnik1,10.80, czujnik2,10.65, czujnik3,42.33
czujnik1,10.80, czujnik2,11.05, czujnik3,24.32
czujnik1,10.02, czujnik2,10.19, czujnik3,41.82
czujnik1,10.02, czujnik2,10.54, czujnik3,41.82
czujnik1,9.93, czujnik2,10.65, czujnik3,23.91
czujnik1,10.34, czujnik2,10.53, czujnik3,42.72
czujnik1,10.02, czujnik2,10.53, czujnik3,24.22
czujnik1,10.03, czujnik2,10.54, czujnik3,42.64
czujnik1,9.93, czujnik2,10.68, czujnik3,23.88
czujnik1,10.39, czujnik2,10.54, czujnik3,25.14
czujnik1,10.03, czujnik2,10.60, czujnik3,42.62
czujnik1,10.02, czujnik2,10.99, czujnik3,23.79
czujnik1,9.93, czujnik2,11.05, czujnik3,41.51
czujnik1,9.91, czujnik2,10.99, czujnik3,41.90
czujnik1,10.03, czujnik2,10.60, czujnik3,41.41
czujnik1,10.02, czujnik2,10.65, czujnik3,41.39
czujnik1,10.34, czujnik2,10.70, czujnik3,41.51
czujnik1,10.37, czujnik2,10.53, czujnik3,41.51
czujnik1,10.90, czujnik2,10.60, czujnik3,41.39
czujnik1,10.90, czujnik2,11.11, czujnik3,42.62
czujnik1,10.34, czujnik2,11.09, czujnik3,41.90
czujnik1,9.93, czujnik2,10.53, czujnik3,23.91
czujnik1,10.02, czujnik2,10.48, czujnik3,43.91
czujnik1,10.02, czujnik2,10.63, czujnik3,42.21
czujnik1,10.80, czujnik2,10.65, czujnik3,23.91
czujnik1,10.32, czujnik2,10.58, czujnik3,24.73
czujnik1,10.02, czujnik2,10.58, czujnik3,42.19
czujnik1,10.02, czujnik2,10.27, czujnik3,23.49
czujnik1,10.80, czujnik2,11.04, czujnik3,41.51
czujnik1,9.91, czujnik2,10.53, czujnik3,43.16
czujnik1,10.03, czujnik2,10.99, czujnik3,24.63
czujnik1,10.02, czujnik2,10.70, czujnik3,41.80
czujnik1,10.80, czujnik2,10.68, czujnik3,41.94
czujnik1,10.32, czujnik2,10.54, czujnik3,23.89
czujnik1,10.03, czujnik2,10.54, czujnik3,41.80
czujnik1,10.44, czujnik2,10.63, czujnik3,25.07
czujnik1,9.93, czujnik2,10.68, czujnik3,42.31
czujnik1,10.34, czujnik2,10.54, czujnik3,23.49
czujnik1,10.03, czujnik2,10.53, czujnik3,41.82
czujnik1,10.90, czujnik2,11.09, czujnik3,23.44
czujnik1,10.80, czujnik2,10.70, czujnik3,41.51
czujnik1,9.93, czujnik2,10.60, czujnik3,41.90
czujnik1,10.02, czujnik2,10.60, czujnik3,43.44
czujnik1,10.44, czujnik2,10.68, czujnik3,41.92
czujnik1,10.80, czujnik2,11.09, czujnik3,43.15
czujnik1,9.93, czujnik2,10.58, czujnik3,24.73
czujnik1,10.44, czujnik2,10.58, czujnik3,42.24
czujnik1,10.43, czujnik2,10.68, czujnik3,42.33
czujnik1,10.34, czujnik2,10.68, czujnik3,42.30
czujnik1,9.91, czujnik2,10.58, czujnik3,41.51
czujnik1,10.49, czujnik2,10.58, czujnik3,25.03
czujnik1,10.49, czujnik2,10.65, czujnik3,23.86
czujnik1,10.39, czujnik2,10.70, czujnik3,43.13
czujnik1,10.34, czujnik2,10.53, czujnik3,23.89
czujnik1,10.44, czujnik2,10.94, czujnik3,41.85
czujnik1,10.02, czujnik2,10.63, czujnik3,24.30
czujnik1,10.34, czujnik2,11.04, czujnik3,23.89
czujnik1,9.91, czujnik2,10.53, czujnik3,41.43
czujnik1,10.02, czujnik2,10.53, czujnik3,23.79
czujnik1,10.43, czujnik2,10.68, czujnik3,24.30
czujnik1,10.34, czujnik2,10.58, czujnik3,41.90
czujnik1,10.78, czujnik2,11.00, czujnik3,25.09
czujnik1,10.02, czujnik2,10.60, czujnik3,42.62
czujnik1,9.56, czujnik2,10.70, czujnik3,42.72
czujnik1,9.91, czujnik2,10.58, czujnik3,24.76
czujnik1,9.91, czujnik2,10.54, czujnik3,42.24
czujnik1,10.44, czujnik2,10.53, czujnik3,41.82
czujnik1,9.91, czujnik2,10.65, czujnik3,41.94
czujnik1,9.91, czujnik2,10.60, czujnik3,24.32
czujnik1,10.80, czujnik2,10.60, czujnik3,23.79
czujnik1,10.02, czujnik2,10.54, czujnik3,23.40
czujnik1,10.78, czujnik2,10.70, czujnik3,42.36
czujnik1,9.91, czujnik2,10.53, czujnik3,23.08
czujnik1,10.03, czujnik2,10.54, czujnik3,41.82
czujnik1,10.03, czujnik2,10.53, czujnik3,42.23
czujnik1,10.32, czujnik2,10.65, czujnik3,24.32
czujnik1,10.80, czujnik2,10.58, czujnik3,42.74
czujnik1,10.32, czujnik2,10.58, czujnik3,24.63
czujnik1,10.03, czujnik2,10.53, czujnik3,42.64
czujnik1,10.32, czujnik2,10.63, czujnik3,42.33
czujnik1,9.91, czujnik2,10.54, czujnik3,23.91
czujnik1,10.02, czujnik2,10.54, czujnik3,23.79
czujnik1,10.90, czujnik2,10.58, czujnik3,41.41
czujnik1,10.37, czujnik2,10.70, czujnik3,23.91
czujnik1,10.34, czujnik2,10.54, czujnik3,23.89
czujnik1,10.44, czujnik2,10.60, czujnik3,23.38
czujnik1,10.43, czujnik2,10.99, czujnik3,42.62
czujnik1,9.91, czujnik2,10.63, czujnik3,23.84
czujnik1,10.34, czujnik2,10.60, czujnik3,41.51
czujnik1,10.02, czujnik2,10.63, czujnik3,41.82
czujnik1,10.02, czujnik2,10.68, czujnik3,41.80
czujnik1,10.34, czujnik2,10.65, czujnik3,23.89
czujnik1,9.91, czujnik2,10.53, czujnik3,23.49
czujnik1,10.44, czujnik2,10.60, czujnik3,41.39
czujnik1,10.44, czujnik2,10.70, czujnik3,41.85
czujnik1,9.93, czujnik2,10.68, czujnik3,42.74
czujnik1,9.91, czujnik2,10.53, czujnik3,24.30
czujnik1,10.44, czujnik2,10.58, czujnik3,41.82
czujnik1,10.85, czujnik2,10.63, czujnik3,42.23
czujnik1,9.91, czujnik2,10.65, czujnik3,24.35
czujnik1,9.91, czujnik2,10.54, czujnik3,41.92
czujnik1,10.02, czujnik2,10.58, czujnik3,24.22
czujnik1,10.02, czujnik2,10.68, czujnik3,23.89
czujnik1,9.52, czujnik2,10.68, czujnik3,24.71
czujnik1,9.91, czujnik2,10.99, czujnik3,24.30
czujnik1,10.03, czujnik2,10.54, czujnik3,42.64
czujnik1,10.44, czujnik2,10.63, czujnik3,41.94
czujnik1,9.93, czujnik2,10.60, czujnik3,42.33
czujnik1,10.80, czujnik2,10.60, czujnik3,42.24
czujnik1,10.03, czujnik2,10.58, czujnik3,42.64
czujnik1,9.97, czujnik2,11.05, czujnik3,42.33
czujnik1,10.34, czujnik2,10.53, czujnik3,25.14
czujnik1,9.93, czujnik2,10.54, czujnik3,24.20
czujnik1,10.44, czujnik2,10.60, czujnik3,41.80
czujnik1,9.93, czujnik2,10.65, czujnik3,42.31
czujnik1,9.91, czujnik2,10.54, czujnik3,41.92
czujnik1,9.93, czujnik2,10.58, czujnik3,22.94
czujnik1,10.03, czujnik2,10.54, czujnik3,42.19
czujnik1,9.93, czujnik2,10.63, czujnik3,43.15
czujnik1,10.34, czujnik2,10.60, czujnik3,42.74
czujnik1,10.02, czujnik2,10.60, czujnik3,23.81
czujnik1,10.03, czujnik2,10.53, czujnik3,42.64
czujnik1,9.91, czujnik2,10.65, czujnik3,24.30
czujnik1,10.34, czujnik2,10.54, czujnik3,25.14
czujnik1,10.02, czujnik2,10.53, czujnik3,24.20
czujnik1,10.02, czujnik2,10.56, czujnik3,42.21
czujnik1,9.93, czujnik2,10.70, czujnik3,41.90
czujnik1,10.80, czujnik2,10.53, czujnik3,23.89
czujnik1,10.44, czujnik2,10.53, czujnik3,42.26
czujnik1,10.44, czujnik2,10.70, czujnik3,23.79
czujnik1,9.91, czujnik2,11.09, czujnik3,23.91
czujnik1,9.93, czujnik2,10.60, czujnik3,41.51
czujnik1,10.44, czujnik2,10.60, czujnik3,23.79
czujnik1,10.03, czujnik2,10.63, czujnik3,41.80
czujnik1,10.32, czujnik2,10.70, czujnik3,43.55
czujnik1,9.91, czujnik2,10.58, czujnik3,24.32
czujnik1,10.90, czujnik2,10.58, czujnik3,23.79
czujnik1,10.03, czujnik2,10.65, czujnik3,41.82
czujnik1,10.34, czujnik2,10.70, czujnik3,41.51
czujnik1,10.39, czujnik2,10.17, czujnik3,23.91
czujnik1,10.03, czujnik2,10.60, czujnik3,24.22
czujnik1,10.02, czujnik2,10.70, czujnik3,41.50
czujnik1,10.80, czujnik2,10.68, czujnik3,43.13
czujnik1,9.91, czujnik2,10.60, czujnik3,41.90
czujnik1,10.44, czujnik2,10.54, czujnik3,41.80
czujnik1,10.03, czujnik2,10.68, czujnik3,43.45
czujnik1,9.91, czujnik2,10.68, czujnik3,41.90
czujnik1,10.34, czujnik2,10.63, czujnik3,24.30
czujnik1,10.02, czujnik2,10.58, czujnik3,42.21
czujnik1,10.44, czujnik2,10.70, czujnik3,42.23
czujnik1,9.93, czujnik2,10.65, czujnik3,42.33
czujnik1,10.39, czujnik2,10.65, czujnik3,23.91
czujnik1,10.02, czujnik2,10.49, czujnik3,23.35
czujnik1,10.02, czujnik2,10.70, czujnik3,43.06
czujnik1,9.91, czujnik2,10.73, czujnik3,43.16
czujnik1,9.91, czujnik2,10.60, czujnik3,41.45
czujnik1,10.90, czujnik2,10.54, czujnik3,23.37
czujnik1,10.43, czujnik2,10.65, czujnik3,23.04
czujnik1,9.91, czujnik2,10.54, czujnik3,43.13
czujnik1,10.34, czujnik2,10.63, czujnik3,41.39
czujnik1,10.90, czujnik2,10.60, czujnik3,22.94
czujnik1,9.93, czujnik2,10.65, czujnik3,23.50
czujnik1,9.93, czujnik2,10.58, czujnik3,42.70
czujnik1,10.32, czujnik2,10.53, czujnik3,42.24
czujnik1,9.61, czujnik2,10.53, czujnik3,42.19
czujnik1,9.91, czujnik2,10.63, czujnik3,23.45
czujnik1,10.34, czujnik2,10.95, czujnik3,24.32
czujnik1,9.98, czujnik2,10.60, czujnik3,23.81
czujnik1,10.44, czujnik2,10.54, czujnik3,42.65
czujnik1,9.91, czujnik2,11.11, czujnik3,23.91
czujnik1,9.93, czujnik2,10.95, czujnik3,23.45
czujnik1,10.44, czujnik2,10.60, czujnik3,24.63
czujnik1,10.03, czujnik2,10.65, czujnik3,24.61
czujnik1,9.93, czujnik2,10.70, czujnik3,23.86
czujnik1,9.93, czujnik2,11.00, czujnik3,41.90
czujnik1,10.02, czujnik2,10.58, czujnik3,23.79
czujnik1,10.02, czujnik2,10.65, czujnik3,42.64
czujnik1,9.91, czujnik2,10.70, czujnik3,42.33
czujnik1,10.34, czujnik2,10.53, czujnik3,44.03
czujnik1,10.90, czujnik2,10.49, czujnik3,24.61
czujnik1,10.44, czujnik2,11.11, czujnik3,42.21
czujnik1,9.93, czujnik2,10.68, czujnik3,42.33
czujnik1,9.91, czujnik2,10.49, czujnik3,23.91
czujnik1,10.44, czujnik2,10.58, czujnik3,24.20
czujnik1,10.88, czujnik2,10.65, czujnik3,23.04
czujnik1,9.93, czujnik2,10.70, czujnik3,43.15
czujnik1,9.91, czujnik2,10.53, czujnik3,42.74
czujnik1,10.03, czujnik2,10.58, czujnik3,43.04
czujnik1,10.44, czujnik2,10.70, czujnik3,42.31
czujnik1,10.75, czujnik2,10.68, czujnik3,24.32
czujnik1,10.80, czujnik2,10.58, czujnik3,43.11
czujnik1,10.90, czujnik2,10.94, czujnik3,43.45
czujnik1,10.90, czujnik2,10.68, czujnik3,41.92
czujnik1,10.34, czujnik2,10.68, czujnik3,41.89
czujnik1,9.91, czujnik2,10.53, czujnik3,42.23
czujnik1,10.03, czujnik2,10.54, czujnik3,24.64
czujnik1,10.41, czujnik2,10.63, czujnik3,23.93
czujnik1,9.93, czujnik2,10.60, czujnik3,41.92
czujnik1,9.91, czujnik2,10.60, czujnik3,42.23
czujnik1,10.02, czujnik2,10.54, czujnik3,24.63
